Treatment,Compound,log2FC
2-arylbenzofuran flavonoids,Unclassified,
5'-deoxyribonucleosides,Unclassified,
Acenaphthylenes,Unclassified,
Acyl halides,Unclassified,
"Allyl-type 1,3-dipolar organic compounds",Unclassified,
Amaryllidaceae alkaloids,Unclassified,
Angucyclines,Unclassified,
Anthracenes,Unclassified,
Aporphines,Unclassified,
Arylnaphthalene lignans,Unclassified,
Aryltetralin lignans,Unclassified,
Aspidofractine alkaloids,Unclassified,
Aspidospermatan-type alkaloids,Unclassified,
Azaphilones,Unclassified,
Azaspirodecane derivatives,Unclassified,
Azepanes,Unclassified,
Azepines,Unclassified,
Azetidines,Unclassified,
Azoles,Unclassified,
Azolidines,Unclassified,
Benzazepines,Unclassified,
Benzene and substituted derivatives,Unclassified,
Benzodiazepines,Unclassified,
Benzodioxoles,Unclassified,
Benzofurans,Unclassified,
Benzophenanthridine alkaloids,Unclassified,
Benzopyrans,Unclassified,
Benzothiazoles,Unclassified,
Benzoxazines,Unclassified,
Benzoxepines,Unclassified,
Bi- and oligothiophenes,Unclassified,
Carboximidic acids and derivatives,Unclassified,
Carboxylic acids and derivatives,Unclassified,
Cinnamic acids and derivatives,Unclassified,
Coumarins and derivatives,Unclassified,
Cycloheptapyrans,Unclassified,
Daphniphylline-type alkaloids,Unclassified,
Depsides and depsidones,Unclassified,
Diarylheptanoids,Unclassified,
Diazanaphthalenes,Unclassified,
Diazines,Unclassified,
Dibenzylbutane lignans,Unclassified,
Dihydrofurans,Unclassified,
Dihydroisoquinolines,Unclassified,
Dioxanes,Unclassified,
Ergoline and derivatives,Unclassified,
Fatty Acyls,Unclassified,
Flavonoids,Unclassified,
Fluorenes,Unclassified,
Furanoid lignans,Unclassified,
Furans,Unclassified,
Furofurans,Unclassified,
Furopyrans,Unclassified,
Gelsemium alkaloids,Unclassified,
Glycerolipids,Unclassified,
Glycerophospholipids,Unclassified,
Harmala alkaloids,Unclassified,
Heteroaromatic compounds,Unclassified,
Hydroxy acids and derivatives,Unclassified,
Imidazodiazepines,Unclassified,
Imidazopyrimidines,Unclassified,
Indanes,Unclassified,
Indoles and derivatives,Unclassified,
Indolizidines,Unclassified,
Indolonaphthyridine alkaloids,Unclassified,
Isobenzofurans,Unclassified,
Isocoumarans,Unclassified,
Isocoumarins and derivatives,Unclassified,
Isoflavonoids,Unclassified,
Isoindoles and derivatives,Unclassified,
Isoquinolines and derivatives,Unclassified,
Keto acids and derivatives,Unclassified,
Lactams,Unclassified,
Lactones,Unclassified,
"Linear 1,3-diarylpropanoids",Unclassified,
Lupin alkaloids,Unclassified,
Macrolactams,Unclassified,
Macrolide lactams,Unclassified,
Macrolides and analogues,Unclassified,
Naphthacenes,Unclassified,
Naphthalenes,Unclassified,
Naphthofurans,Unclassified,
Naphthopyrans,Unclassified,
Neoflavonoids,Unclassified,
Organic carbonic acids and derivatives,Unclassified,
Organic oxides,Unclassified,
Organic phosphonic acids and derivatives,Unclassified,
Organic phosphoric acids and derivatives,Unclassified,
Organic sulfonic acids and derivatives,Unclassified,
Organic sulfuric acids and derivatives,Unclassified,
Organochlorides,Unclassified,
Organonitrogen compounds,Unclassified,
Organooxygen compounds,Unclassified,
Other mixed metal/non-metal oxoanionic compounds,Unclassified,
Oxanes,Unclassified,
Oxepanes,Unclassified,
Oxocins,Unclassified,
Peptidomimetics,Unclassified,
Perylenequinones,Unclassified,
Phenanthrenes and derivatives,Unclassified,
Phenol esters,Unclassified,
Phenol ethers,Unclassified,
Phenols,Unclassified,
Phenylpropanoic acids,Unclassified,
Piperidines,Unclassified,
Plumeran-type alkaloids,Unclassified,
Polycyclic hydrocarbons,Unclassified,
Prenol lipids,Unclassified,
Processing_1,Unclassified,
Processing_2,Unclassified,
Processing_3,Unclassified,
Processing_4,Unclassified,
Pteridines and derivatives,Unclassified,
Purine nucleosides,Unclassified,
Pyrans,Unclassified,
Pyridines and derivatives,Unclassified,
Pyridopyrimidines,Unclassified,
Pyrimidine nucleosides,Unclassified,
Pyrroles,Unclassified,
Pyrrolidines,Unclassified,
Pyrrolines,Unclassified,
Pyrrolizidines,Unclassified,
Pyrrolizines,Unclassified,
Quinolines and derivatives,Unclassified,
Quinolizidines,Unclassified,
Quinolizines,Unclassified,
Saccharolipids,Unclassified,
"Saxitoxins, gonyautoxins, and derivatives",Unclassified,
Sphingolipids,Unclassified,
Steroids and steroid derivatives,Unclassified,
Stilbenes,Unclassified,
Strychnos alkaloids,Unclassified,
Sulfoxides,Unclassified,
Tannins,Unclassified,
Tetrahydrofurans,Unclassified,
Tetrahydroisoquinolines,Unclassified,
Tetralins,Unclassified,
Tetrapyrroles and derivatives,Unclassified,
Thiazinanes,Unclassified,
Thiosulfinic acid esters,Unclassified,
Trithiolanes,Unclassified,
Tropane alkaloids,Unclassified,
Tropones,Unclassified,
Unclassified,Unclassified,
Unsaturated hydrocarbons,Unclassified,
Vinylogous acids,Unclassified,
2-arylbenzofuran flavonoids,Fatty Acyls,
5'-deoxyribonucleosides,Fatty Acyls,
Acenaphthylenes,Fatty Acyls,
Acyl halides,Fatty Acyls,
"Allyl-type 1,3-dipolar organic compounds",Fatty Acyls,
Amaryllidaceae alkaloids,Fatty Acyls,
Angucyclines,Fatty Acyls,
Anthracenes,Fatty Acyls,
Aporphines,Fatty Acyls,
Arylnaphthalene lignans,Fatty Acyls,
Aryltetralin lignans,Fatty Acyls,
Aspidofractine alkaloids,Fatty Acyls,
Aspidospermatan-type alkaloids,Fatty Acyls,
Azaphilones,Fatty Acyls,
Azaspirodecane derivatives,Fatty Acyls,
Azepanes,Fatty Acyls,
Azepines,Fatty Acyls,
Azetidines,Fatty Acyls,
Azoles,Fatty Acyls,
Azolidines,Fatty Acyls,
Benzazepines,Fatty Acyls,
Benzene and substituted derivatives,Fatty Acyls,
Benzodiazepines,Fatty Acyls,
Benzodioxoles,Fatty Acyls,
Benzofurans,Fatty Acyls,
Benzophenanthridine alkaloids,Fatty Acyls,
Benzopyrans,Fatty Acyls,
Benzothiazoles,Fatty Acyls,
Benzoxazines,Fatty Acyls,
Benzoxepines,Fatty Acyls,
Bi- and oligothiophenes,Fatty Acyls,
Carboximidic acids and derivatives,Fatty Acyls,
Carboxylic acids and derivatives,Fatty Acyls,
Cinnamic acids and derivatives,Fatty Acyls,
Coumarins and derivatives,Fatty Acyls,
Cycloheptapyrans,Fatty Acyls,
Daphniphylline-type alkaloids,Fatty Acyls,
Depsides and depsidones,Fatty Acyls,
Diarylheptanoids,Fatty Acyls,
Diazanaphthalenes,Fatty Acyls,
Diazines,Fatty Acyls,
Dibenzylbutane lignans,Fatty Acyls,
Dihydrofurans,Fatty Acyls,
Dihydroisoquinolines,Fatty Acyls,
Dioxanes,Fatty Acyls,
Ergoline and derivatives,Fatty Acyls,
Fatty Acyls,Fatty Acyls,
Flavonoids,Fatty Acyls,
Fluorenes,Fatty Acyls,
Furanoid lignans,Fatty Acyls,
Furans,Fatty Acyls,
Furofurans,Fatty Acyls,
Furopyrans,Fatty Acyls,
Gelsemium alkaloids,Fatty Acyls,
Glycerolipids,Fatty Acyls,
Glycerophospholipids,Fatty Acyls,
Harmala alkaloids,Fatty Acyls,
Heteroaromatic compounds,Fatty Acyls,
Hydroxy acids and derivatives,Fatty Acyls,
Imidazodiazepines,Fatty Acyls,
Imidazopyrimidines,Fatty Acyls,
Indanes,Fatty Acyls,
Indoles and derivatives,Fatty Acyls,
Indolizidines,Fatty Acyls,
Indolonaphthyridine alkaloids,Fatty Acyls,
Isobenzofurans,Fatty Acyls,
Isocoumarans,Fatty Acyls,
Isocoumarins and derivatives,Fatty Acyls,
Isoflavonoids,Fatty Acyls,
Isoindoles and derivatives,Fatty Acyls,
Isoquinolines and derivatives,Fatty Acyls,
Keto acids and derivatives,Fatty Acyls,
Lactams,Fatty Acyls,
Lactones,Fatty Acyls,
"Linear 1,3-diarylpropanoids",Fatty Acyls,
