,Betweenness,Degree,Mean_Abundance,Max_log2FC
2-arylbenzofuran flavonoids,0.0,0.0,3335469.7782600005,0.0
5'-deoxyribonucleosides,0.0,0.0,1303137.5072,0.0
Acenaphthylenes,0.0,0.0,2764932.9206,0.0
Acyl halides,0.0,0.0,125964.36800460001,0.0
"Allyl-type 1,3-dipolar organic compounds",0.0,0.0,2100959.8552,0.0
Amaryllidaceae alkaloids,0.0,0.0,1507212.713,0.0
Angucyclines,0.0,0.0,2134020.82486,0.0
Anthracenes,0.0,0.0,7175483.2195999995,0.0
Aporphines,0.0,0.0,79331.61160999999,0.0
Arylnaphthalene lignans,0.0,0.0,1666409.0482,0.0
Aryltetralin lignans,0.0,0.0,669.3585391199999,0.0
Aspidofractine alkaloids,0.0,0.0,355777.1520804,0.0
Aspidospermatan-type alkaloids,0.0,0.0,7258755.3780000005,0.0
Azaphilones,0.0,0.0,34497.6860062,0.0
Azaspirodecane derivatives,0.0,0.0,17135179.98,0.0
Azepanes,0.0,0.0,5835177.536599999,0.0
Azepines,0.0,0.0,217581.57811999996,0.0
Azetidines,0.0,0.0,842825.15876,0.0
Azoles,0.0,0.0,3415916.3638000004,0.0
Azolidines,0.0,0.0,11557985.2216,0.0
Benzazepines,0.0,0.0,630482.3920000001,0.0
Benzene and substituted derivatives,0.0,0.0,419700971.94000006,0.0
Benzodiazepines,0.0,0.0,103146.47715800001,0.0
Benzodioxoles,0.0,0.0,140917.948346,0.0
Benzofurans,0.0,0.0,28390714.706,0.0
Benzophenanthridine alkaloids,0.0,0.0,2978756.1978000007,0.0
Benzopyrans,0.0,0.0,499699784.4,0.0
Benzothiazoles,0.0,0.0,3885414.4630000005,0.0
Benzoxazines,0.0,0.0,169159.00929999998,0.0
Benzoxepines,0.0,0.0,9266921.97838,0.0
Bi- and oligothiophenes,0.0,0.0,9035533.3118,0.0
Carboximidic acids and derivatives,0.0,0.0,9952001613.8,0.0
Carboxylic acids and derivatives,0.0,0.0,292735948.65999997,0.0
Cinnamic acids and derivatives,0.0,0.0,103567418.43200001,0.0
Control,0.0,4.0,0.0,0.0
Coumarins and derivatives,0.0,0.0,96799969.26000002,0.0
Cycloheptapyrans,0.0,0.0,558697.8333,0.0
Daphniphylline-type alkaloids,0.0,0.0,3318028.0556,0.0
Depsides and depsidones,0.0,0.0,1036098.13114,0.0
Diarylheptanoids,0.0,0.0,23418623.477999996,0.0
Diazanaphthalenes,0.0,0.0,1262458.8557999998,0.0
Diazines,0.0,0.0,8409003.2726,0.0
Dibenzylbutane lignans,0.0,0.0,2048034.9726,0.0
Dihydrofurans,0.0,0.0,10467705.7298,0.0
Dihydroisoquinolines,0.0,0.0,950986.25394,0.0
Dioxanes,0.0,0.0,5553744.463,0.0
Ergoline and derivatives,0.0,0.0,423367.54438000004,0.0
Fatty Acyls,0.0,0.0,14272830279.0,0.0
Flavonoids,0.0,0.0,260806278.61999997,0.0
Fluorenes,0.0,0.0,1211163.1610400002,0.0
Furanoid lignans,0.0,0.0,10921708.312199999,0.0
Furans,0.0,0.0,187911.05008,0.0
Furofurans,0.0,0.0,68935235.528,0.0
Furopyrans,0.0,0.0,373869.467528,0.0
Gelsemium alkaloids,0.0,0.0,17010058.092,0.0
Glycerolipids,0.0,0.0,36030414.126,0.0
Glycerophospholipids,0.0,0.0,82125480.362,0.0
Harmala alkaloids,0.0,0.0,3440111.7966,0.0
Heteroaromatic compounds,0.0,0.0,37160280.962,0.0
Hydroxy acids and derivatives,0.0,0.0,19550698.364,0.0
Imidazodiazepines,0.0,0.0,2269219.4354,0.0
Imidazopyrimidines,0.0,0.0,14499965.324000001,0.0
Indanes,0.0,0.0,42920487.536000006,0.0
Indoles and derivatives,0.0,0.0,208723993.21999997,0.0
Indolizidines,0.0,0.0,15244131.779999997,0.0
Indolonaphthyridine alkaloids,0.0,0.0,161099.19158599997,0.0
Isobenzofurans,0.0,0.0,105358.6975204,0.0
Isocoumarans,0.0,0.0,330669.17649999994,0.0
Isocoumarins and derivatives,0.0,0.0,1490467.8054,0.0
Isoflavonoids,0.0,0.0,61959735.953999996,0.0
Isoindoles and derivatives,0.0,0.0,3249983.541,0.0
Isoquinolines and derivatives,0.0,0.0,1032764.82934,0.0
Keto acids and derivatives,0.0,0.0,2409470.0918,0.0
Lactams,0.0,0.0,4537513.3804399995,0.0
Lactones,0.0,0.0,287538639.28,0.0
"Linear 1,3-diarylpropanoids",0.0,0.0,15330189.086000001,0.0
Lupin alkaloids,0.0,0.0,1471679.1627999998,0.0
Macrolactams,0.0,0.0,8408662.584800001,0.0
Macrolide lactams,0.0,0.0,22788938.8398,0.0
Macrolides and analogues,0.0,0.0,159086623.85999998,0.0
Naphthacenes,0.0,0.0,1180666.4895600001,0.0
