,Betweenness,Degree,Mean_Abundance,Max_log2FC
2-arylbenzofuran flavonoids,0.0,0.0,3335469.7782600005,3.9750084990256007
5'-deoxyribonucleosides,0.0,0.0,1303137.5072,2.894410462557149
Acenaphthylenes,0.0,0.0,2764932.9206,0.8211324044135652
Acyl halides,0.0,0.0,125964.3680046,3.8753162274234128
"Allyl-type 1,3-dipolar organic compounds",0.0,0.0,2100959.8552,0.4686959155916971
Amaryllidaceae alkaloids,0.0,0.0,1507212.713,0.1309539060120737
Angucyclines,0.0,0.0,2134020.82486,2.453427038162612
Anthracenes,0.0,0.0,7175483.2196,2.658224014341522
Aporphines,0.0,0.0,79331.61160999999,2.4027804407211644
Arylnaphthalene lignans,0.0,0.0,1666409.0482,0.7223089107946925
Aryltetralin lignans,0.0,0.0,669.3585391199999,1.5134746621346193
Aspidofractine alkaloids,0.0,0.0,355777.1520804,6.768415673346864
Aspidospermatan-type alkaloids,0.0,0.0,7258755.378,2.713603938990585
Azaphilones,0.0,0.0,34497.6860062,3.4711298584822345
Azaspirodecane derivatives,0.0,0.0,17135179.98,0.6747732564416042
Azepanes,0.0,0.0,5835177.536599999,1.0704527676361435
Azepines,0.0,0.0,217581.57812,0.2656180818901896
Azetidines,0.0,0.0,842825.15876,4.254785189398297
Azoles,0.0,0.0,3415916.3638000004,3.051558399157114
Azolidines,0.0,0.0,11557985.2216,0.4053262474516831
Benzazepines,0.0,0.0,630482.3920000001,1.0279649433578606
Benzene and substituted derivatives,0.0,0.0,419700971.94000006,0.23306458350232123
Benzodiazepines,0.0,0.0,103146.477158,0.3270551789727579
Benzodioxoles,0.0,0.0,140917.948346,2.7242656806065275
Benzofurans,0.0,0.0,28390714.706,0.19454277954429736
Benzophenanthridine alkaloids,0.0,0.0,2978756.1978000007,1.0274046631751814
Benzopyrans,0.0,0.0,499699784.4,0.8482584638911581
Benzothiazoles,0.0,0.0,3885414.463000001,0.059326458350239863
Benzoxazines,0.0,0.0,169159.00929999998,0.9032097254681967
Benzoxepines,0.0,0.0,9266921.97838,6.346716388298283
Bi- and oligothiophenes,0.0,0.0,9035533.3118,0.2905451813310515
Carboximidic acids and derivatives,0.0,0.0,9952001613.8,0.06989565440129879
Carboxylic acids and derivatives,0.0,0.0,292735948.66,0.3190546842267163
Cinnamic acids and derivatives,0.0,0.0,103567418.432,0.8989074308425294
Control,0.0,4.0,0.0,
Coumarins and derivatives,0.0,0.0,96799969.26000002,3.114505320597872
Cycloheptapyrans,0.0,0.0,558697.8333,0.37941570662117
Daphniphylline-type alkaloids,0.0,0.0,3318028.0556,2.245802664666396
Depsides and depsidones,0.0,0.0,1036098.13114,1.2997234876619477
Diarylheptanoids,0.0,0.0,23418623.478,2.208762566710376
Diazanaphthalenes,0.0,0.0,1262458.8557999998,0.5136193412289117
Diazines,0.0,0.0,8409003.2726,1.8812469682950939
Dibenzylbutane lignans,0.0,0.0,2048034.9726,0.7661968535740655
Dihydrofurans,0.0,0.0,10467705.7298,0.8958334539561135
Dihydroisoquinolines,0.0,0.0,950986.25394,1.986846415425149
Dioxanes,0.0,0.0,5553744.463,0.1230493635458169
Ergoline and derivatives,0.0,0.0,423367.54438,3.5982403997964822
Fatty Acyls,0.0,0.0,14272830279.0,0.25149372207235166
Flavonoids,0.0,0.0,260806278.62,1.2729869668718536
Fluorenes,0.0,0.0,1211163.1610400002,3.267919301190871
Furanoid lignans,0.0,0.0,10921708.3122,0.6422870269151637
Furans,0.0,0.0,187911.05008,4.581065310906709
Furofurans,0.0,0.0,68935235.528,2.2588284335408826
Furopyrans,0.0,0.0,373869.467528,3.249146133666146
Gelsemium alkaloids,0.0,0.0,17010058.092,0.6225627646586929
Glycerolipids,0.0,0.0,36030414.126,0.42083230511969266
Glycerophospholipids,0.0,0.0,82125480.362,0.39709872848087907
Harmala alkaloids,0.0,0.0,3440111.7966,1.2257528565148692
Heteroaromatic compounds,0.0,0.0,37160280.962,1.4988134964166382
Hydroxy acids and derivatives,0.0,0.0,19550698.364,0.26538152741558596
Imidazodiazepines,0.0,0.0,2269219.4354,1.5822567498600106
Imidazopyrimidines,0.0,0.0,14499965.324,1.723328959924725
Indanes,0.0,0.0,42920487.536000006,1.126882203453253
Indoles and derivatives,0.0,0.0,208723993.22,0.6931749116310972
Indolizidines,0.0,0.0,15244131.779999996,0.13102233830248602
Indolonaphthyridine alkaloids,0.0,0.0,161099.19158599997,5.175990692817568
Isobenzofurans,0.0,0.0,105358.6975204,6.399496512885538
Isocoumarans,0.0,0.0,330669.17649999994,1.5999843596986285
Isocoumarins and derivatives,0.0,0.0,1490467.8054,1.0590471675901287
Isoflavonoids,0.0,0.0,61959735.954,2.884667790999171
Isoindoles and derivatives,0.0,0.0,3249983.541,0.3723777695144167
Isoquinolines and derivatives,0.0,0.0,1032764.82934,0.4366379173053681
Keto acids and derivatives,0.0,0.0,2409470.0918,0.2283430031146964
Lactams,0.0,0.0,4537513.38044,3.0156502104110263
Lactones,0.0,0.0,287538639.28,2.196178860648279
"Linear 1,3-diarylpropanoids",0.0,0.0,15330189.086,0.8462781690082857
Lupin alkaloids,0.0,0.0,1471679.1627999998,0.6156846834747347
Macrolactams,0.0,0.0,8408662.584800001,2.692302086445056
Macrolide lactams,0.0,0.0,22788938.8398,2.758836816665392
Macrolides and analogues,0.0,0.0,159086623.85999998,0.3889348636200423
Naphthacenes,0.0,0.0,1180666.48956,1.4217628565996316
Naphthalenes,0.0,0.0,6185472.446400001,0.6969111423524375
Naphthofurans,0.0,0.0,24642465.34,0.5338595529859902
Naphthopyrans,0.0,0.0,56302323.76600001,0.6768240688677543
Neoflavonoids,0.0,0.0,1012571.38758,2.1609983750981696
Organic carbonic acids and derivatives,0.0,0.0,8806569.375599999,0.172220515908145
Organic oxides,0.0,0.0,3137637.8286,0.6632010576840017
Organic phosphonic acids and derivatives,0.0,0.0,12018418.375999998,0.598977152432842
Organic phosphoric acids and derivatives,0.0,0.0,14787505.721999995,0.7332909056150458
Organic sulfonic acids and derivatives,0.0,0.0,3724056.7694000006,0.839166885395507
Organic sulfuric acids and derivatives,0.0,0.0,60911307.216000006,2.3668918492069904
Organochlorides,0.0,0.0,9431894.72352,4.7631521706274675
Organonitrogen compounds,0.0,0.0,843904864.54,0.42381146980440804
Organooxygen compounds,0.0,0.0,728967958.1600001,0.4378118988147949
Other mixed metal/non-metal oxoanionic compounds,0.0,0.0,891306.89946,0.22067168292327824
Oxanes,0.0,0.0,14112280.7386,1.5486848443394519
Oxepanes,0.0,0.0,2675378.722,0.27317117401178254
Oxocins,0.0,0.0,3905411.6418,0.41169993998359383
Peptidomimetics,0.0,0.0,147322341.85999998,0.3433180921131937
Perylenequinones,0.0,0.0,1260461.53142,0.4621960298333643
Phenanthrenes and derivatives,0.0,0.0,8561671.0232,1.4910912529031186
Phenol esters,0.0,0.0,6875492.6354,1.3650765040222796
Phenol ethers,0.0,0.0,16991077.216000002,0.4194490496367995
Phenols,0.0,0.0,126980748.84,0.8549194101442666
Phenylpropanoic acids,0.0,0.0,5948939.118199999,0.1142685976212906
Piperidines,0.0,0.0,85233259.4,0.12373655836142736
Plumeran-type alkaloids,0.0,0.0,1799876.8546,0.5025682734183853
Polycyclic hydrocarbons,0.0,0.0,12411161.2066,0.5387597297013548
Prenol lipids,0.0,0.0,1508637566.4,0.27873578339870436
Processing_1,0.0,4.0,0.0,
Processing_2,0.0,4.0,0.0,
Processing_3,0.0,4.0,0.0,
Processing_4,0.0,4.0,0.0,
Pteridines and derivatives,0.0,0.0,1382728.451,0.4582656364118065
Purine nucleosides,0.0,0.0,27105274.558,2.641940233852276
Pyrans,0.0,0.0,92767637.036,0.11445429040181207
Pyridines and derivatives,0.0,0.0,22470330.674,0.8195685058901923
Pyridopyrimidines,0.0,0.0,734981.87996,2.028632403811701
Pyrimidine nucleosides,0.0,0.0,7846177.7132,3.245476476886257
Pyrroles,0.0,0.0,1824204.6554,0.7198242611106943
Pyrrolidines,0.0,0.0,215606775.54,0.3014814225484365
Pyrrolines,0.0,0.0,1097562.201966,8.618989100552456
Pyrrolizidines,0.0,0.0,49829248.34,0.5514589942707837
Pyrrolizines,0.0,0.0,3487626.1524000005,0.25501645133966955
Quinolines and derivatives,0.0,0.0,40861050.934,0.4635738046350171
Quinolizidines,0.0,0.0,1335028.29,0.8181015501578414
Quinolizines,0.0,0.0,18143828.552,0.7081537743233688
Saccharolipids,0.0,0.0,1933428.1764,0.7127010489970302
"Saxitoxins, gonyautoxins, and derivatives",0.0,0.0,783874.5690400001,2.4427771830968688
Sphingolipids,0.0,0.0,28156896.588,0.30740236152792094
Steroids and steroid derivatives,0.0,0.0,299216895.36,0.17354765773699518
Stilbenes,0.0,0.0,54351242.716,0.1731153421485318
Strychnos alkaloids,0.0,0.0,6507022.61592,4.889384627809091
Sulfoxides,0.0,0.0,17403213.913999997,0.30908713559452755
Tannins,0.0,0.0,385876.605652,2.6736394078812955
Tetrahydrofurans,0.0,0.0,8209708.789199999,0.38678928639418825
Tetrahydroisoquinolines,0.0,0.0,44989396.816,0.4213739545333353
Tetralins,0.0,0.0,6331572.0886,0.6884141512635911
Tetrapyrroles and derivatives,0.0,0.0,418343.35422,0.7235744528648571
Thiazinanes,0.0,0.0,44241.235842,2.310544928581684
Thiosulfinic acid esters,0.0,0.0,184775.770416,2.9316483494784205
Trithiolanes,0.0,0.0,368030492.34,0.3790015244295861
Tropane alkaloids,0.0,0.0,38380527.332,1.0556495024924208
Tropones,0.0,0.0,334442.59806000005,1.0221142397919603
Unclassified,0.0,0.0,278600000000.0,0.15583786512938394
Unsaturated hydrocarbons,0.0,0.0,73017368.00600001,0.33273007455481335
Vinylogous acids,0.0,0.0,1275256.41856,0.8344731220599135
