"","Unclassified","Fatty.Acyls","Organooxygen.compounds","Hydroxy.acids.and.derivatives","Organic.phosphonic.acids.and.derivatives","Heteroaromatic.compounds","Phenols","Organic.sulfuric.acids.and.derivatives","Diazines","Organic.carbonic.acids.and.derivatives","Keto.acids.and.derivatives","Dihydrofurans","Lactones","Organic.sulfonic.acids.and.derivatives","Carboxylic.acids.and.derivatives","Benzene.and.substituted.derivatives","Azoles","Quinolines.and.derivatives","Cinnamic.acids.and.derivatives","Benzothiazoles","Imidazopyrimidines","Pyrans","Tropane.alkaloids","Other.mixed.metal.non.metal.oxoanionic.compounds","Pyridines.and.derivatives","Phenol.ethers","Indolizidines","Indoles.and.derivatives","Thiazinanes","Thiosulfinic.acid.esters","Isocoumarans","Phenylpropanoic.acids","Furans","Prenol.lipids","Benzopyrans","Naphthalenes"
"Abditibacteriota",0,0.4,-0.1,0.3,0.3,0.2,0.1,0.9,0.1,-0.6,0.6,-0.7,0.2,0.2,-0.2,0,0.1,0.3,0.1,0.6,0.4,-0.6,-0.9,0,0.1,0.1,-1,0,1,0.5,0.3,-0.7,0.1,0.2,0.4,0.4
"Acidobacteriota",-0.2,-0.7,-0.3,-0.1,-0.4,-0.5,-0.3,-0.7,-0.3,0.7,-0.2,0.5,-0.5,-0.1,-0.1,-0.2,-0.3,-0.4,0.2,-0.3,-0.3,0.3,0.7,0.1,-0.3,-0.5,0.9,0.2,-0.9,-0.8,-0.1,0.9,-0.3,0,-0.3,-0.3
"Actinobacteriota",0.2,0.7,0.3,0.1,0.4,0.5,0.3,0.7,0.3,-0.7,0.2,-0.5,0.5,0.1,0.1,0.2,0.3,0.4,-0.2,0.3,0.3,-0.3,-0.7,-0.1,0.3,0.5,-0.9,-0.2,0.9,0.8,0.1,-0.9,0.3,0,0.3,0.3
"Armatimonadota",-0.1,0,0.4,0.7,1,0.7,0.9,0.5,0.5,-0.1,-0.1,0.3,0.7,-0.7,0.2,-0.1,0.9,0.2,-0.1,-0.1,0.1,0.5,-0.5,-0.7,0.5,0.1,-0.3,0.1,0.3,0.6,0.7,-0.7,0.9,-0.3,0.9,0.1
"Bacteroidota",0.8,0.8,0.5,0.1,0.1,0.6,0.3,0.3,0.7,-1,0.2,-0.1,0.6,0.6,0.6,0.8,0.3,0.9,0.3,-0.2,0.8,-0.2,-0.3,-0.4,0.7,0.3,-0.6,-0.8,0.6,0.7,0.1,-0.5,0.3,0.6,0,0.8
"Bdellovibrionota",0.1,0.6,0.5,0.2,0.7,0.7,0.6,0.6,0.4,-0.5,-0.1,-0.2,0.7,-0.3,0.2,0.1,0.6,0.3,-0.4,0.1,0.1,0.1,-0.6,-0.3,0.4,0.6,-0.7,-0.1,0.7,0.9,0.2,-1,0.6,-0.3,0.5,0.1
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",-0.2,-0.3,0.2,-0.4,-0.1,-0.1,0,-0.8,-0.2,0.7,-0.8,0.6,-0.1,-0.5,0.1,-0.2,0,-0.5,-0.5,-0.5,-0.7,0.7,0.8,0.1,-0.2,0.2,0.9,0.2,-0.9,-0.3,-0.4,0.4,0,-0.6,-0.3,-0.7
"Cyanobacteria",-0.1,0.5,-0.1,-0.8,-0.5,-0.3,-0.6,0,-0.5,-0.1,-0.1,-0.7,-0.3,0.3,-0.3,-0.1,-0.6,-0.3,-0.6,0.4,-0.4,-0.5,0,0.8,-0.5,0.6,-0.3,0.1,0.3,0.1,-0.8,-0.2,-0.6,-0.3,-0.6,-0.4
"Dadabacteria",-0.4,0.1,0,-0.8,-0.3,-0.3,-0.4,-0.4,-0.6,0.5,-0.6,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.7,-0.9,0.1,-0.9,0.1,0.4,0.7,-0.6,0.6,0.3,0.4,-0.3,-0.1,-0.8,0,-0.4,-0.8,-0.5,-0.9
