"","Furanoid.lignans","Acyl.halides","Isobenzofurans","Furofurans","Indanes","Fluorenes","Angucyclines","Aryltetralin.lignans","Carboximidic.acids.and.derivatives","Perylenequinones","Oxanes","Pyridopyrimidines","Benzophenanthridine.alkaloids","Sphingolipids","Isoindoles.and.derivatives","Arylnaphthalene.lignans","Depsides.and.depsidones","Plumeran.type.alkaloids","Neoflavonoids","Glycerophospholipids","Peptidomimetics","Macrolactams","Strychnos.alkaloids","Pyrrolidines","Tetrahydrofurans","Unsaturated.hydrocarbons","Polycyclic.hydrocarbons","Lactams","Organic.phosphoric.acids.and.derivatives","Acenaphthylenes","Quinolizines","Imidazodiazepines","Allyl.type.1.3.dipolar.organic.compounds","Organic.oxides","Pteridines.and.derivatives","Azepanes"
"Abditibacteriota",-0.1,0.9,0.4,-0.4,0.7,0.9,0.7,-0.3,-0.2,-0.2,0.2,0.4,-0.5,0.3,0.6,0.8,0.8,-0.3,0.5,-1,-0.1,-0.9,-0.7,-0.8,-0.3,-0.2,0.4,0.5,-0.5,-0.3,0,0.7,-0.4,-0.7,0.9,-1
"Acidobacteriota",0,-0.8,-0.3,0.3,-0.6,-0.7,-0.9,0.1,0.1,0.6,-0.5,-0.3,0.6,-0.4,-0.3,-0.5,-0.6,0.1,-0.8,0.9,0,1,0.9,0.9,0.4,-0.1,-0.7,-0.1,0.3,0.4,-0.2,-0.9,0.3,0.5,-0.8,0.9
"Actinobacteriota",0,0.8,0.3,-0.3,0.6,0.7,0.9,-0.1,-0.1,-0.6,0.5,0.3,-0.6,0.4,0.3,0.5,0.6,-0.1,0.8,-0.9,0,-1,-0.9,-0.9,-0.4,0.1,0.7,0.1,-0.3,-0.4,0.2,0.9,-0.3,-0.5,0.8,-0.9
"Armatimonadota",-0.6,0.1,0.1,0.6,0,0.5,0.7,-0.3,-0.5,-0.3,0.7,0.1,-0.7,-0.5,-0.1,0.3,0.3,-0.7,0.6,-0.3,-0.6,-0.4,-0.3,-0.2,-0.2,0.2,0,-0.3,0.4,-0.2,-0.1,0.3,-0.1,0.3,0.1,-0.3
"Bacteroidota",-0.3,0.3,0.8,0,0.9,0.3,0.5,-0.5,0.6,-0.6,0.6,0.8,0.1,0.1,-0.2,0.4,0,-0.1,0.7,-0.6,-0.3,-0.7,-0.9,-0.4,-0.9,0.6,0.8,-0.1,-0.7,-0.9,0.8,0.9,-0.8,-0.1,0.3,-0.6
"Bdellovibrionota",-0.1,0.6,0.1,0,0.3,0.6,1,0,-0.3,-0.7,0.7,0.1,-0.8,0.2,0.1,0.3,0.5,-0.2,0.9,-0.7,-0.1,-0.9,-0.8,-0.8,-0.3,0.2,0.6,-0.2,0.1,-0.3,0.1,0.8,-0.1,-0.2,0.6,-0.7
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",0.3,-0.7,-0.7,0.3,-0.9,-0.8,-0.4,0.6,-0.1,0,-0.1,-0.7,0.1,-0.1,-0.5,-0.9,-0.6,0.4,-0.3,0.9,0.3,0.7,0.6,0.5,0.5,0.1,-0.3,-0.6,0.8,0.5,-0.2,-0.6,0.7,0.6,-0.7,0.9
"Cyanobacteria",0.9,0.6,-0.4,-0.9,0,0,0.2,0.7,0,-0.3,-0.3,-0.4,-0.2,1,0.4,-0.2,0.3,0.8,0.1,-0.3,0.9,-0.4,-0.3,-0.7,0.3,-0.3,0.5,0.2,-0.1,0.3,-0.1,0.3,0.4,-0.7,0.6,-0.3
"Dadabacteria",0.9,0.1,-0.9,-0.5,-0.7,-0.4,0,1,-0.3,-0.2,-0.3,-0.9,-0.3,0.7,0.1,-0.7,0,0.8,-0.1,0.3,0.9,0.1,0.2,-0.3,0.7,-0.3,0.1,-0.2,0.6,0.7,-0.4,-0.2,0.9,-0.2,0.1,0.3
