"","Harmala.alkaloids","Azaspirodecane.derivatives","Pyrroles","Dihydroisoquinolines","Isocoumarins.and.derivatives","Benzazepines","Phenol.esters","Indolonaphthyridine.alkaloids","Trithiolanes","Pyrrolizidines","Ergoline.and.derivatives","Lupin.alkaloids","Azolidines","Pyrrolizines","Saxitoxins..gonyautoxins..and.derivatives","Benzoxepines","Quinolizidines","X5..deoxyribonucleosides","Glycerolipids","Azetidines","Gelsemium.alkaloids","Pyrrolines","Daphniphylline.type.alkaloids","Aspidospermatan.type.alkaloids","Tropones","Aporphines","Dibenzylbutane.lignans","Aspidofractine.alkaloids","Naphthacenes","Cycloheptapyrans","Tannins","Tetrapyrroles.and.derivatives","Macrolide.lactams","Saccharolipids"
"Abditibacteriota",0.7,0.1,0.7,-0.9,0.7,0.7,-0.6,0.3,-0.7,-0.6,0.1,-0.2,-0.9,-0.6,-0.9,0.2,0,0,0.3,-1,-0.3,-0.7,0.9,0.9,-0.5,0.7,0.3,0.1,0.3,-0.6,-0.7,0,-0.6,0.5
"Acidobacteriota",-0.9,-0.3,-0.9,1,-0.6,-0.9,0.7,-0.4,0.6,0.3,-0.3,-0.1,0.8,0.3,0.8,-0.5,-0.1,-0.1,-0.4,0.9,0.1,0.4,-0.7,-0.7,0.7,-0.9,-0.1,-0.3,-0.4,0.7,0.5,0.1,0.7,-0.1
"Actinobacteriota",0.9,0.3,0.9,-1,0.6,0.9,-0.7,0.4,-0.6,-0.3,0.3,0.1,-0.8,-0.3,-0.8,0.5,0.1,0.1,0.4,-0.9,-0.1,-0.4,0.7,0.7,-0.7,0.9,0.1,0.3,0.4,-0.7,-0.5,-0.1,-0.7,0.1
"Armatimonadota",0.3,0.9,0.7,-0.4,0,0.3,-0.9,0.2,-0.8,0.5,0.9,0.2,-0.1,0.5,-0.1,0.7,0.7,0.7,0.2,-0.3,-0.7,0.3,0.1,0.1,0.1,0.3,0.7,0.9,1,-0.1,0.3,-0.7,-0.9,-0.3
"Bacteroidota",0.9,0.3,0.5,-0.7,0.9,0.9,-0.2,0.9,-0.1,-0.2,0.3,0.6,-0.3,-0.2,-0.3,0.6,0.4,0.4,0.9,-0.6,-0.1,-0.5,0.7,0.7,-0.3,0.9,0.1,0.3,0.1,-1,-0.1,-0.4,-0.2,-0.1
"Bdellovibrionota",0.8,0.6,1,-0.9,0.3,0.8,-0.9,0.3,-0.7,0.1,0.6,0.2,-0.6,0.1,-0.6,0.7,0.3,0.3,0.3,-0.7,-0.2,0,0.4,0.4,-0.6,0.8,0.2,0.6,0.7,-0.5,-0.2,-0.3,-0.9,-0.2
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",-0.6,0,-0.4,0.7,-0.9,-0.6,0.3,-0.5,0.5,0.7,0,0.1,0.7,0.7,0.7,-0.1,-0.1,-0.1,-0.5,0.9,0.4,0.9,-1,-1,0.2,-0.6,-0.4,0,-0.1,0.7,0.6,0.1,0.3,-0.6
"Cyanobacteria",0.3,-0.6,0.2,-0.4,0,0.3,0.1,-0.3,0.2,-0.5,-0.6,-0.3,-0.6,-0.5,-0.6,-0.3,-0.8,-0.8,-0.3,-0.3,0.8,-0.2,0.1,0.1,-0.9,0.3,-0.8,-0.6,-0.5,-0.1,-0.7,0.8,0.1,0.2
"Dadabacteria",-0.2,-0.4,0,0.1,-0.7,-0.2,0.1,-0.7,0.3,0.1,-0.4,-0.3,-0.1,0.1,-0.1,-0.3,-0.7,-0.7,-0.7,0.3,0.8,0.5,-0.6,-0.6,-0.6,-0.2,-0.8,-0.4,-0.3,0.5,-0.2,0.7,0.1,-0.2
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",0.2,-0.1,0.5,-0.6,0.2,0.2,-0.6,-0.3,-0.8,-0.6,-0.1,-0.7,-0.9,-0.6,-0.9,-0.2,-0.3,-0.3,-0.3,-0.8,-0.3,-0.5,0.6,0.6,-0.4,0.2,0.3,-0.1,0.3,0,-0.8,0.3,-0.6,0.7
"Dependentiae",-0.6,0.2,-0.6,0.7,-0.1,-0.6,0.3,0.1,0.1,0.3,0.2,0.1,0.7,0.3,0.7,-0.1,0.5,0.5,0.1,0.5,-0.6,0.1,-0.2,-0.2,1,-0.6,0.6,0.2,0.1,0.3,0.6,-0.5,0.3,0
"Desulfobacterota",-0.7,0,-0.8,0.9,-0.3,-0.7,0.6,0,0.5,0.4,0,0.2,0.9,0.4,0.9,-0.2,0.3,0.3,0,0.8,-0.2,0.3,-0.5,-0.5,0.9,-0.7,0.2,0,-0.2,0.4,0.7,-0.3,0.6,-0.2
"Elusimicrobiota",-0.7,0,-0.8,0.9,-0.3,-0.7,0.6,0,0.5,0.4,0,0.2,0.9,0.4,0.9,-0.2,0.3,0.3,0,0.8,-0.2,0.3,-0.5,-0.5,0.9,-0.7,0.2,0,-0.2,0.4,0.7,-0.3,0.6,-0.2
"Entotheonellaeota",-0.6,0,-0.4,0.7,-0.9,-0.6,0.3,-0.5,0.5,0.7,0,0.1,0.7,0.7,0.7,-0.1,-0.1,-0.1,-0.5,0.9,0.4,0.9,-1,-1,0.2,-0.6,-0.4,0,-0.1,0.7,0.6,0.1,0.3,-0.6
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",-0.9,-0.3,-0.5,0.7,-0.9,-0.9,0.2,-0.9,0.1,0.2,-0.3,-0.6,0.3,0.2,0.3,-0.6,-0.4,-0.4,-0.9,0.6,0.1,0.5,-0.7,-0.7,0.3,-0.9,-0.1,-0.3,-0.1,1,0.1,0.4,0.2,0.1
"Firmicutes",-0.5,-0.1,-0.7,0.6,0.2,-0.5,0.5,0.2,0.2,-0.1,-0.1,0,0.5,-0.1,0.5,-0.3,0.3,0.3,0.2,0.3,-0.5,-0.3,0.1,0.1,0.9,-0.5,0.5,-0.1,-0.2,0.1,0.3,-0.3,0.5,0.3
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",-0.8,-0.6,-1,0.9,-0.3,-0.8,0.9,-0.3,0.7,-0.1,-0.6,-0.2,0.6,-0.1,0.6,-0.7,-0.3,-0.3,-0.3,0.7,0.2,0,-0.4,-0.4,0.6,-0.8,-0.2,-0.6,-0.7,0.5,0.2,0.3,0.9,0.2
"Gemmatimonadota",-0.1,-0.7,-0.1,0,-0.4,-0.1,0.3,-0.6,0.4,-0.3,-0.7,-0.4,-0.3,-0.3,-0.3,-0.5,-0.9,-0.9,-0.6,0.1,0.9,0.1,-0.3,-0.3,-0.7,-0.1,-0.9,-0.7,-0.6,0.3,-0.5,0.9,0.3,0.1
"Hydrogenedentes",0.820782681668123,0.410391340834062,0.410391340834062,-0.564288093646835,0.872081599272381,0.820782681668123,-0.153896752812773,0.974679434480896,-0.0512989176042577,-0.0512989176042577,0.410391340834062,0.718184846459608,-0.102597835208515,-0.0512989176042577,-0.102597835208515,0.66688592885535,0.564288093646835,0.564288093646835,0.974679434480896,-0.461690258438319,-0.205195670417031,-0.410391340834062,0.615587011251092,0.615587011251092,-0.102597835208515,0.820782681668123,0.205195670417031,0.410391340834062,0.153896752812773,-0.974679434480896,0.102597835208515,-0.564288093646835,-0.153896752812773,-0.205195670417031
"Latescibacterota",-0.7,0,-0.8,0.9,-0.3,-0.7,0.6,0,0.5,0.4,0,0.2,0.9,0.4,0.9,-0.2,0.3,0.3,0,0.8,-0.2,0.3,-0.5,-0.5,0.9,-0.7,0.2,0,-0.2,0.4,0.7,-0.3,0.6,-0.2
"MBNT15",-0.7,0,-0.8,0.9,-0.3,-0.7,0.6,0,0.5,0.4,0,0.2,0.9,0.4,0.9,-0.2,0.3,0.3,0,0.8,-0.2,0.3,-0.5,-0.5,0.9,-0.7,0.2,0,-0.2,0.4,0.7,-0.3,0.6,-0.2
"Methylomirabilota",-0.9,-0.3,-0.9,1,-0.6,-0.9,0.7,-0.4,0.6,0.3,-0.3,-0.1,0.8,0.3,0.8,-0.5,-0.1,-0.1,-0.4,0.9,0.1,0.4,-0.7,-0.7,0.7,-0.9,-0.1,-0.3,-0.4,0.7,0.5,0.1,0.7,-0.1
"Myxococcota",0.1,0.2,0.6,-0.5,-0.1,0.1,-0.8,-0.4,-0.9,-0.2,0.2,-0.6,-0.7,-0.2,-0.7,0,-0.1,-0.1,-0.4,-0.6,-0.4,-0.1,0.3,0.3,-0.3,0.1,0.4,0.2,0.6,0.2,-0.5,0.1,-0.8,0.4
"NB1.j",-0.9,-0.3,-0.9,1,-0.6,-0.9,0.7,-0.4,0.6,0.3,-0.3,-0.1,0.8,0.3,0.8,-0.5,-0.1,-0.1,-0.4,0.9,0.1,0.4,-0.7,-0.7,0.7,-0.9,-0.1,-0.3,-0.4,0.7,0.5,0.1,0.7,-0.1
"Nitrospirota",-0.3,-0.4,-0.8,0.6,0.2,-0.3,0.9,0.3,0.8,-0.1,-0.4,0.3,0.6,-0.1,0.6,-0.3,0,0,0.3,0.5,0.2,-0.2,-0.1,-0.1,0.5,-0.3,-0.2,-0.4,-0.7,-0.1,0.3,0,0.9,0
"Patescibacteria",-0.8,-0.6,-1,0.9,-0.3,-0.8,0.9,-0.3,0.7,-0.1,-0.6,-0.2,0.6,-0.1,0.6,-0.7,-0.3,-0.3,-0.3,0.7,0.2,0,-0.4,-0.4,0.6,-0.8,-0.2,-0.6,-0.7,0.5,0.2,0.3,0.9,0.2
"Planctomycetota",-0.9,-0.2,-0.6,0.7,-0.5,-0.9,0.2,-0.6,-0.1,0,-0.2,-0.6,0.3,0,0.3,-0.6,-0.1,-0.1,-0.6,0.4,-0.4,0.1,-0.3,-0.3,0.7,-0.9,0.4,-0.2,0,0.8,0.1,0.1,0.2,0.4
"Proteobacteria",0.9,0.2,0.6,-0.7,0.5,0.9,-0.2,0.6,0.1,0,0.2,0.6,-0.3,0,-0.3,0.6,0.1,0.1,0.6,-0.4,0.4,-0.1,0.3,0.3,-0.7,0.9,-0.4,0.2,0,-0.8,-0.1,-0.1,-0.2,-0.4
"RCP2.54",-0.5,0.2,-0.6,0.8,-0.4,-0.5,0.5,0.1,0.6,0.7,0.2,0.5,1,0.7,1,0.1,0.4,0.4,0.1,0.9,0,0.6,-0.7,-0.7,0.7,-0.5,0,0.2,-0.1,0.3,0.9,-0.4,0.5,-0.6
"SAR324_clade.Marine_group_B.",-0.7,-0.1,-0.3,0.6,-1,-0.7,0.1,-0.8,0.2,0.5,-0.1,-0.3,0.4,0.5,0.4,-0.3,-0.3,-0.3,-0.8,0.7,0.3,0.8,-0.9,-0.9,0.1,-0.7,-0.3,-0.1,0,0.9,0.3,0.3,0.1,-0.3
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",-0.1,0.3,0.5,-0.2,-0.6,-0.1,-0.7,-0.6,-0.6,0.3,0.3,-0.4,-0.3,0.3,-0.3,0.1,-0.1,-0.1,-0.6,-0.1,-0.1,0.5,-0.3,-0.3,-0.3,-0.1,0.1,0.3,0.6,0.5,-0.1,0.1,-0.7,-0.1
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.1,0.7,0.1,0,0.4,0.1,-0.3,0.6,-0.4,0.3,0.7,0.4,0.3,0.3,0.3,0.5,0.9,0.9,0.6,-0.1,-0.9,-0.1,0.3,0.3,0.7,0.1,0.9,0.7,0.6,-0.3,0.5,-0.9,-0.3,-0.1
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
