,Betweenness,Degree,Mean_Abundance,Max_log2FC
Acyl halides,0.0,0.0,125964.36800460001,0.0
Aporphines,0.0,0.0,79331.61160999999,0.0
Aryltetralin lignans,0.0,0.0,669.3585391199999,0.0
Aspidofractine alkaloids,0.0,0.0,355777.1520804,0.0
Azaphilones,0.0,0.0,34497.6860062,0.0
Azepines,0.0,0.0,217581.57811999996,0.0
Azetidines,0.0,0.0,842825.15876,0.0
Benzazepines,0.0,0.0,630482.3920000001,0.0
Benzodiazepines,0.0,0.0,103146.47715800001,0.0
Benzodioxoles,0.0,0.0,140917.948346,0.0
Benzoxazines,0.0,0.0,169159.00929999998,0.0
Control,0.0,4.0,0.0,0.0
Cycloheptapyrans,0.0,0.0,558697.8333,0.0
Depsides and depsidones,0.0,0.0,1036098.13114,0.0
Dihydroisoquinolines,0.0,0.0,950986.25394,0.0
Ergoline and derivatives,0.0,0.0,423367.54438000004,0.0
Furans,0.0,0.0,187911.05008,0.0
Furopyrans,0.0,0.0,373869.467528,0.0
Indolonaphthyridine alkaloids,0.0,0.0,161099.19158599997,0.0
Isobenzofurans,0.0,0.0,105358.6975204,0.0
Isocoumarans,0.0,0.0,330669.17649999994,0.0
Isoquinolines and derivatives,0.0,0.0,1032764.82934,0.0
Naphthacenes,0.0,0.0,1180666.4895600001,0.0
Neoflavonoids,0.0,0.0,1012571.3875800001,0.0
Other mixed metal/non-metal oxoanionic compounds,0.0,0.0,891306.89946,0.0
Processing_1,0.0,4.0,0.0,0.0
Processing_2,0.0,4.0,0.0,0.0
Processing_3,0.0,4.0,0.0,0.0
Processing_4,0.0,4.0,0.0,0.0
Pyridopyrimidines,0.0,0.0,734981.87996,0.0
Pyrrolines,0.0,0.0,1097562.201966,0.0
"Saxitoxins, gonyautoxins, and derivatives",0.0,0.0,783874.5690400001,0.0
Tannins,0.0,0.0,385876.605652,0.0
Tetrapyrroles and derivatives,0.0,0.0,418343.35422,0.0
Thiazinanes,0.0,0.0,44241.235842,0.0
Thiosulfinic acid esters,0.0,0.0,184775.77041599998,0.0
Tropones,0.0,0.0,334442.59806000005,0.0
