Treatment,Compound,log2FC
2-arylbenzofuran flavonoids,Acyl halides,
5'-deoxyribonucleosides,Acyl halides,
Acenaphthylenes,Acyl halides,
Acyl halides,Acyl halides,
"Allyl-type 1,3-dipolar organic compounds",Acyl halides,
Amaryllidaceae alkaloids,Acyl halides,
Angucyclines,Acyl halides,
Anthracenes,Acyl halides,
Aporphines,Acyl halides,
Arylnaphthalene lignans,Acyl halides,
Aryltetralin lignans,Acyl halides,
Aspidofractine alkaloids,Acyl halides,
Aspidospermatan-type alkaloids,Acyl halides,
Azaphilones,Acyl halides,
Azaspirodecane derivatives,Acyl halides,
Azepanes,Acyl halides,
Azepines,Acyl halides,
Azetidines,Acyl halides,
Azoles,Acyl halides,
Azolidines,Acyl halides,
Benzazepines,Acyl halides,
Benzene and substituted derivatives,Acyl halides,
Benzodiazepines,Acyl halides,
Benzodioxoles,Acyl halides,
Benzofurans,Acyl halides,
Benzophenanthridine alkaloids,Acyl halides,
Benzopyrans,Acyl halides,
Benzothiazoles,Acyl halides,
Benzoxazines,Acyl halides,
Benzoxepines,Acyl halides,
Bi- and oligothiophenes,Acyl halides,
Carboximidic acids and derivatives,Acyl halides,
Carboxylic acids and derivatives,Acyl halides,
Cinnamic acids and derivatives,Acyl halides,
Coumarins and derivatives,Acyl halides,
Cycloheptapyrans,Acyl halides,
Daphniphylline-type alkaloids,Acyl halides,
Depsides and depsidones,Acyl halides,
Diarylheptanoids,Acyl halides,
Diazanaphthalenes,Acyl halides,
Diazines,Acyl halides,
Dibenzylbutane lignans,Acyl halides,
Dihydrofurans,Acyl halides,
Dihydroisoquinolines,Acyl halides,
Dioxanes,Acyl halides,
Ergoline and derivatives,Acyl halides,
Fatty Acyls,Acyl halides,
Flavonoids,Acyl halides,
Fluorenes,Acyl halides,
Furanoid lignans,Acyl halides,
Furans,Acyl halides,
Furofurans,Acyl halides,
Furopyrans,Acyl halides,
Gelsemium alkaloids,Acyl halides,
Glycerolipids,Acyl halides,
Glycerophospholipids,Acyl halides,
Harmala alkaloids,Acyl halides,
Heteroaromatic compounds,Acyl halides,
Hydroxy acids and derivatives,Acyl halides,
Imidazodiazepines,Acyl halides,
Imidazopyrimidines,Acyl halides,
Indanes,Acyl halides,
Indoles and derivatives,Acyl halides,
Indolizidines,Acyl halides,
Indolonaphthyridine alkaloids,Acyl halides,
Isobenzofurans,Acyl halides,
Isocoumarans,Acyl halides,
Isocoumarins and derivatives,Acyl halides,
Isoflavonoids,Acyl halides,
Isoindoles and derivatives,Acyl halides,
Isoquinolines and derivatives,Acyl halides,
Keto acids and derivatives,Acyl halides,
Lactams,Acyl halides,
Lactones,Acyl halides,
"Linear 1,3-diarylpropanoids",Acyl halides,
Lupin alkaloids,Acyl halides,
Macrolactams,Acyl halides,
Macrolide lactams,Acyl halides,
Macrolides and analogues,Acyl halides,
Naphthacenes,Acyl halides,
Naphthalenes,Acyl halides,
Naphthofurans,Acyl halides,
Naphthopyrans,Acyl halides,
Neoflavonoids,Acyl halides,
Organic carbonic acids and derivatives,Acyl halides,
Organic oxides,Acyl halides,
Organic phosphonic acids and derivatives,Acyl halides,
Organic phosphoric acids and derivatives,Acyl halides,
Organic sulfonic acids and derivatives,Acyl halides,
Organic sulfuric acids and derivatives,Acyl halides,
Organochlorides,Acyl halides,
Organonitrogen compounds,Acyl halides,
Organooxygen compounds,Acyl halides,
Other mixed metal/non-metal oxoanionic compounds,Acyl halides,
Oxanes,Acyl halides,
Oxepanes,Acyl halides,
Oxocins,Acyl halides,
Peptidomimetics,Acyl halides,
Perylenequinones,Acyl halides,
Phenanthrenes and derivatives,Acyl halides,
Phenol esters,Acyl halides,
Phenol ethers,Acyl halides,
Phenols,Acyl halides,
Phenylpropanoic acids,Acyl halides,
Piperidines,Acyl halides,
Plumeran-type alkaloids,Acyl halides,
Polycyclic hydrocarbons,Acyl halides,
Prenol lipids,Acyl halides,
Processing_1,Acyl halides,
Processing_2,Acyl halides,
Processing_3,Acyl halides,
Processing_4,Acyl halides,
Pteridines and derivatives,Acyl halides,
Purine nucleosides,Acyl halides,
Pyrans,Acyl halides,
Pyridines and derivatives,Acyl halides,
Pyridopyrimidines,Acyl halides,
Pyrimidine nucleosides,Acyl halides,
Pyrroles,Acyl halides,
Pyrrolidines,Acyl halides,
Pyrrolines,Acyl halides,
Pyrrolizidines,Acyl halides,
Pyrrolizines,Acyl halides,
Quinolines and derivatives,Acyl halides,
Quinolizidines,Acyl halides,
Quinolizines,Acyl halides,
Saccharolipids,Acyl halides,
