"","Unclassified","Fatty.Acyls","Organooxygen.compounds","Hydroxy.acids.and.derivatives","Organic.phosphonic.acids.and.derivatives","Heteroaromatic.compounds","Phenols","Organic.sulfuric.acids.and.derivatives","Diazines","Organic.carbonic.acids.and.derivatives","Keto.acids.and.derivatives","Dihydrofurans","Lactones","Organic.sulfonic.acids.and.derivatives","Carboxylic.acids.and.derivatives","Benzene.and.substituted.derivatives","Azoles","Quinolines.and.derivatives","Cinnamic.acids.and.derivatives","Benzothiazoles","Imidazopyrimidines","Pyrans","Tropane.alkaloids","Other.mixed.metal.non.metal.oxoanionic.compounds","Pyridines.and.derivatives","Phenol.ethers","Indolizidines","Indoles.and.derivatives","Thiazinanes","Thiosulfinic.acid.esters","Isocoumarans","Phenylpropanoic.acids","Furans","Prenol.lipids","Benzopyrans","Naphthalenes"
"Abditibacteriota",1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.68270221116389,1,0.925012279375625,0.925012279375625,1.01107110387914e-21,1,6.2556832958787e-22,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625
"Acidobacteriota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,1,0.925012279375625,0.925012279375625
"Actinobacteriota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,1,0.925012279375625,0.925012279375625
"Armatimonadota",0.925012279375625,1,0.925012279375625,0.910644148807793,6.2556832958787e-22,0.910644148807793,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.68270221116389,0.925012279375625,0.68270221116389,0.925012279375625
"Bacteroidota",0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,1.01107110387914e-21,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,1,0.910644148807793
"Bdellovibrionota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.68270221116389,0.925012279375625,1.01107110387914e-21,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.910644148807793
"Cyanobacteria",0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,1,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625
"Dadabacteria",0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.68270221116389,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,1,0.925012279375625,0.910644148807793,0.925012279375625,0.68270221116389
