"","Coumarins.and.derivatives","Naphthofurans","Isoquinolines.and.derivatives","Azepines","Furopyrans","Benzofurans","Sulfoxides","Anthracenes","Pyrimidine.nucleosides","Benzodioxoles","Diazanaphthalenes","Phenanthrenes.and.derivatives","Oxocins","Organonitrogen.compounds","Oxepanes","Naphthopyrans","Bi..and.oligothiophenes","Organochlorides","Azaphilones","Tetrahydroisoquinolines","Purine.nucleosides","Dioxanes","Isoflavonoids","Benzoxazines","X2.arylbenzofuran.flavonoids","Flavonoids","Macrolides.and.analogues","Vinylogous.acids","Piperidines","Stilbenes","Linear.1.3.diarylpropanoids","Amaryllidaceae.alkaloids","Benzodiazepines","Steroids.and.steroid.derivatives","Diarylheptanoids","Tetralins"
"Abditibacteriota",0.745933044969377,0.805004568438351,0.805004568438351,0.884179367406245,0.745933044969377,1,0.745933044969377,0.921910813225162,0.921910813225162,0.884179367406245,0.440247220283256,0.884179367406245,0.884179367406245,0.745933044969377,0.884179367406245,0.745933044969377,1,0.921910813225162,0.745933044969377,0.71667174160603,1,0.921910813225162,0.745933044969377,0.884179367406245,0.805004568438351,0.440247220283256,0.884179367406245,0.884179367406245,0.805004568438351,1,0.921910813225162,0.745933044969377,0.71667174160603,0.921910813225162,0.884179367406245,0.745933044969377
"Acidobacteriota",0.745933044969377,0.745933044969377,0.71667174160603,0.745933044969377,0.805004568438351,0.921910813225162,0.745933044969377,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.884179367406245,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.805004568438351,0.440247220283256,0.745933044969377,0.71667174160603,0.71667174160603,0.884179367406245,0.884179367406245,0.745933044969377,0.921910813225162,0.884179367406245,0.440247220283256,0.745933044969377,1,0.745933044969377,0.805004568438351
"Actinobacteriota",0.745933044969377,0.745933044969377,0.71667174160603,0.745933044969377,0.805004568438351,0.921910813225162,0.745933044969377,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.884179367406245,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.805004568438351,0.440247220283256,0.745933044969377,0.71667174160603,0.71667174160603,0.884179367406245,0.884179367406245,0.745933044969377,0.921910813225162,0.884179367406245,0.440247220283256,0.745933044969377,1,0.745933044969377,0.805004568438351
"Armatimonadota",1,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,0.745933044969377,0.71667174160603,0.921910813225162,0.745933044969377,0.440247220283256,0.921910813225162,5.6619981817232e-22,0.921910813225162,0.884179367406245,0.921910813225162,0.921910813225162,0.921910813225162,0.745933044969377,0.921910813225162,0.884179367406245,0.745933044969377,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,0.805004568438351,0.921910813225162,0.921910813225162,0.440247220283256,0.745933044969377,0.884179367406245,0.884179367406245,0.921910813225162,0.884179367406245
"Bacteroidota",0.440247220283256,0.884179367406245,0.745933044969377,0.921910813225162,0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.884179367406245,1,0.745933044969377,0.921910813225162,0.440247220283256,0.805004568438351,0.805004568438351,3.33636442446864e-22,0.71667174160603,0.884179367406245,0.921910813225162,0.884179367406245,0.884179367406245,0.884179367406245,0.805004568438351,0.805004568438351,0.745933044969377,0.884179367406245,1,0.921910813225162,0.884179367406245,0.71667174160603,0.884179367406245,0.805004568438351,1,0.745933044969377,0.921910813225162,0.921910813225162
"Bdellovibrionota",0.884179367406245,0.745933044969377,0.440247220283256,0.745933044969377,0.745933044969377,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,0.884179367406245,0.745933044969377,0.884179367406245,1,0.805004568438351,0.805004568438351,0.921910813225162,0.921910813225162,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,3.33636442446864e-22,0.805004568438351,0.440247220283256,0.745933044969377,1,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,5.6619981817232e-22,0.805004568438351,0.884179367406245,0.745933044969377,0.921910813225162
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",0.440247220283256,0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.921910813225162,0.805004568438351,0.805004568438351,0.884179367406245,0.884179367406245,3.33636442446864e-22,0.921910813225162,0.805004568438351,0.440247220283256,0.921910813225162,0.745933044969377,0.921910813225162,1,0.71667174160603,0.440247220283256,0.921910813225162,0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.921910813225162,0.921910813225162,1,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.745933044969377
"Cyanobacteria",1,0.440247220283256,0.921910813225162,0.745933044969377,0.921910813225162,0.71667174160603,0.921910813225162,0.745933044969377,0.440247220283256,0.745933044969377,0.921910813225162,0.805004568438351,0.884179367406245,0.921910813225162,0.71667174160603,0.921910813225162,0.921910813225162,0.440247220283256,0.921910813225162,0.921910813225162,0.71667174160603,0.745933044969377,0.921910813225162,0.71667174160603,0.921910813225162,0.745933044969377,0.440247220283256,3.33636442446864e-22,0.440247220283256,0.921910813225162,0.745933044969377,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,0.745933044969377
"Dadabacteria",0.745933044969377,0.745933044969377,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,0.884179367406245,0.440247220283256,0.440247220283256,0.805004568438351,0.745933044969377,0.884179367406245,0.745933044969377,0.805004568438351,0.805004568438351,0.805004568438351,0.884179367406245,0.745933044969377,0.745933044969377,0.745933044969377,0.745933044969377,0.745933044969377,1,0.805004568438351,0.921910813225162,0.921910813225162,0.805004568438351,0.745933044969377,0.745933044969377,0.884179367406245,0.884179367406245,1,1,0.71667174160603,0.745933044969377,0.921910813225162
