"","Furanoid.lignans","Acyl.halides","Isobenzofurans","Furofurans","Indanes","Fluorenes","Angucyclines","Aryltetralin.lignans","Carboximidic.acids.and.derivatives","Perylenequinones","Oxanes","Pyridopyrimidines","Benzophenanthridine.alkaloids","Sphingolipids","Isoindoles.and.derivatives","Arylnaphthalene.lignans","Depsides.and.depsidones","Plumeran.type.alkaloids","Neoflavonoids","Glycerophospholipids","Peptidomimetics","Macrolactams","Strychnos.alkaloids","Pyrrolidines","Tetrahydrofurans","Unsaturated.hydrocarbons","Polycyclic.hydrocarbons","Lactams","Organic.phosphoric.acids.and.derivatives","Acenaphthylenes","Quinolizines","Imidazodiazepines","Allyl.type.1.3.dipolar.organic.compounds","Organic.oxides","Pteridines.and.derivatives","Azepanes"
"Abditibacteriota",0.918830075336356,0.336474661216489,0.890187381227805,0.890187381227805,0.663954368379485,0.336474661216489,0.663954368379485,0.890187381227805,0.918830075336356,0.918830075336356,0.918830075336356,0.890187381227805,0.828004698965161,0.890187381227805,0.720469467129057,0.590769949161727,0.590769949161727,0.890187381227805,0.828004698965161,5.24259090900296e-22,0.918830075336356,0.336474661216489,0.663954368379485,0.590769949161727,0.890187381227805,0.918830075336356,0.890187381227805,0.828004698965161,0.828004698965161,0.890187381227805,1,0.663954368379485,0.890187381227805,0.663954368379485,0.336474661216489,5.24259090900296e-22
"Acidobacteriota",1,0.590769949161727,0.890187381227805,0.890187381227805,0.720469467129057,0.663954368379485,0.336474661216489,0.918830075336356,0.918830075336356,0.720469467129057,0.828004698965161,0.890187381227805,0.720469467129057,0.890187381227805,0.890187381227805,0.828004698965161,0.720469467129057,0.918830075336356,0.590769949161727,0.336474661216489,1,3.12784164793935e-22,0.336474661216489,0.336474661216489,0.890187381227805,0.918830075336356,0.663954368379485,0.918830075336356,0.890187381227805,0.890187381227805,0.918830075336356,0.336474661216489,0.890187381227805,0.828004698965161,0.590769949161727,0.336474661216489
"Actinobacteriota",1,0.590769949161727,0.890187381227805,0.890187381227805,0.720469467129057,0.663954368379485,0.336474661216489,0.918830075336356,0.918830075336356,0.720469467129057,0.828004698965161,0.890187381227805,0.720469467129057,0.890187381227805,0.890187381227805,0.828004698965161,0.720469467129057,0.918830075336356,0.590769949161727,0.336474661216489,1,5.24259090900296e-22,0.336474661216489,0.336474661216489,0.890187381227805,0.918830075336356,0.663954368379485,0.918830075336356,0.890187381227805,0.890187381227805,0.918830075336356,0.336474661216489,0.890187381227805,0.828004698965161,0.590769949161727,0.336474661216489
"Armatimonadota",0.720469467129057,0.918830075336356,0.918830075336356,0.720469467129057,1,0.828004698965161,0.663954368379485,0.890187381227805,0.828004698965161,0.890187381227805,0.663954368379485,0.918830075336356,0.663954368379485,0.828004698965161,0.918830075336356,0.890187381227805,0.890187381227805,0.663954368379485,0.720469467129057,0.890187381227805,0.720469467129057,0.890187381227805,0.890187381227805,0.918830075336356,0.918830075336356,0.918830075336356,1,0.890187381227805,0.890187381227805,0.918830075336356,0.918830075336356,0.890187381227805,0.918830075336356,0.890187381227805,0.918830075336356,0.890187381227805
"Bacteroidota",0.890187381227805,0.890187381227805,0.590769949161727,1,0.336474661216489,0.890187381227805,0.828004698965161,0.828004698965161,0.720469467129057,0.720469467129057,0.720469467129057,0.590769949161727,0.918830075336356,0.918830075336356,0.918830075336356,0.890187381227805,1,0.918830075336356,0.663954368379485,0.720469467129057,0.890187381227805,0.663954368379485,0.336474661216489,0.890187381227805,0.336474661216489,0.720469467129057,0.590769949161727,0.918830075336356,0.663954368379485,0.336474661216489,0.590769949161727,0.336474661216489,0.590769949161727,0.918830075336356,0.890187381227805,0.720469467129057
"Bdellovibrionota",0.918830075336356,0.720469467129057,0.918830075336356,1,0.890187381227805,0.720469467129057,3.12784164793935e-22,1,0.890187381227805,0.663954368379485,0.663954368379485,0.918830075336356,0.590769949161727,0.918830075336356,0.918830075336356,0.890187381227805,0.828004698965161,0.918830075336356,0.336474661216489,0.663954368379485,0.918830075336356,0.336474661216489,0.590769949161727,0.590769949161727,0.890187381227805,0.918830075336356,0.720469467129057,0.918830075336356,0.918830075336356,0.890187381227805,0.918830075336356,0.590769949161727,0.918830075336356,0.918830075336356,0.720469467129057,0.663954368379485
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",0.890187381227805,0.663954368379485,0.663954368379485,0.890187381227805,0.336474661216489,0.590769949161727,0.890187381227805,0.720469467129057,0.918830075336356,1,0.918830075336356,0.663954368379485,0.918830075336356,0.918830075336356,0.828004698965161,0.336474661216489,0.720469467129057,0.890187381227805,0.890187381227805,0.336474661216489,0.890187381227805,0.663954368379485,0.720469467129057,0.828004698965161,0.828004698965161,0.918830075336356,0.890187381227805,0.720469467129057,0.590769949161727,0.828004698965161,0.918830075336356,0.720469467129057,0.663954368379485,0.720469467129057,0.663954368379485,0.336474661216489
"Cyanobacteria",0.336474661216489,0.720469467129057,0.890187381227805,0.336474661216489,1,1,0.918830075336356,0.663954368379485,1,0.890187381227805,0.890187381227805,0.890187381227805,0.918830075336356,3.12784164793935e-22,0.890187381227805,0.918830075336356,0.890187381227805,0.590769949161727,0.918830075336356,0.890187381227805,0.336474661216489,0.890187381227805,0.890187381227805,0.663954368379485,0.890187381227805,0.890187381227805,0.828004698965161,0.918830075336356,0.918830075336356,0.890187381227805,0.918830075336356,0.890187381227805,0.890187381227805,0.663954368379485,0.720469467129057,0.890187381227805
"Dadabacteria",0.336474661216489,0.918830075336356,0.336474661216489,0.828004698965161,0.663954368379485,0.890187381227805,1,3.12784164793935e-22,0.890187381227805,0.918830075336356,0.890187381227805,0.336474661216489,0.890187381227805,0.663954368379485,0.918830075336356,0.663954368379485,1,0.590769949161727,0.918830075336356,0.890187381227805,0.336474661216489,0.918830075336356,0.918830075336356,0.890187381227805,0.663954368379485,0.890187381227805,0.918830075336356,0.918830075336356,0.720469467129057,0.663954368379485,0.890187381227805,0.918830075336356,0.336474661216489,0.918830075336356,0.918830075336356,0.890187381227805
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",0.918830075336356,0.336474661216489,0.918830075336356,0.828004698965161,0.918830075336356,0.336474661216489,0.828004698965161,1,0.663954368379485,0.918830075336356,0.918830075336356,0.918830075336356,0.663954368379485,0.890187381227805,0.336474661216489,0.663954368379485,3.12784164793935e-22,0.890187381227805,0.918830075336356,0.590769949161727,0.918830075336356,0.720469467129057,0.918830075336356,0.663954368379485,0.890187381227805,0.663954368379485,0.918830075336356,0.663954368379485,0.918830075336356,0.890187381227805,0.720469467129057,0.918830075336356,0.918830075336356,0.590769949161727,0.336474661216489,0.590769949161727
"Dependentiae",0.663954368379485,0.663954368379485,0.890187381227805,0.663954368379485,0.918830075336356,0.918830075336356,0.720469467129057,0.720469467129057,0.918830075336356,0.720469467129057,0.918830075336356,0.890187381227805,0.828004698965161,0.336474661216489,0.890187381227805,0.918830075336356,0.890187381227805,0.720469467129057,0.828004698965161,0.828004698965161,0.663954368379485,0.663954368379485,0.720469467129057,0.336474661216489,0.918830075336356,0.918830075336356,0.663954368379485,1,1,0.918830075336356,1,0.720469467129057,0.890187381227805,0.720469467129057,0.663954368379485,0.828004698965161
"Desulfobacterota",0.890187381227805,0.336474661216489,0.918830075336356,0.720469467129057,0.890187381227805,0.720469467129057,0.590769949161727,0.890187381227805,0.890187381227805,0.828004698965161,0.918830075336356,0.918830075336356,0.663954368379485,0.663954368379485,0.828004698965161,0.890187381227805,0.663954368379485,0.918830075336356,0.720469467129057,0.590769949161727,0.890187381227805,0.336474661216489,0.663954368379485,3.12784164793935e-22,1,0.918830075336356,0.720469467129057,0.918830075336356,0.918830075336356,1,0.918830075336356,0.663954368379485,0.918830075336356,0.663954368379485,0.336474661216489,0.590769949161727
"Elusimicrobiota",0.890187381227805,0.336474661216489,0.918830075336356,0.720469467129057,0.890187381227805,0.720469467129057,0.590769949161727,0.890187381227805,0.890187381227805,0.828004698965161,0.918830075336356,0.918830075336356,0.663954368379485,0.663954368379485,0.828004698965161,0.890187381227805,0.663954368379485,0.918830075336356,0.720469467129057,0.590769949161727,0.890187381227805,0.336474661216489,0.663954368379485,3.12784164793935e-22,1,0.918830075336356,0.720469467129057,0.918830075336356,0.918830075336356,1,0.918830075336356,0.663954368379485,0.918830075336356,0.663954368379485,0.336474661216489,0.590769949161727
"Entotheonellaeota",0.890187381227805,0.663954368379485,0.663954368379485,0.890187381227805,0.336474661216489,0.590769949161727,0.890187381227805,0.720469467129057,0.918830075336356,1,0.918830075336356,0.663954368379485,0.918830075336356,0.918830075336356,0.828004698965161,0.336474661216489,0.720469467129057,0.890187381227805,0.890187381227805,0.336474661216489,0.890187381227805,0.663954368379485,0.720469467129057,0.828004698965161,0.828004698965161,0.918830075336356,0.890187381227805,0.720469467129057,0.590769949161727,0.828004698965161,0.918830075336356,0.720469467129057,0.663954368379485,0.720469467129057,0.663954368379485,0.336474661216489
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",0.890187381227805,0.890187381227805,0.590769949161727,1,0.336474661216489,0.890187381227805,0.828004698965161,0.828004698965161,0.720469467129057,0.720469467129057,0.720469467129057,0.590769949161727,0.918830075336356,0.918830075336356,0.918830075336356,0.890187381227805,1,0.918830075336356,0.663954368379485,0.720469467129057,0.890187381227805,0.663954368379485,0.336474661216489,0.890187381227805,0.336474661216489,0.720469467129057,0.590769949161727,0.918830075336356,0.663954368379485,0.336474661216489,0.590769949161727,0.336474661216489,0.590769949161727,0.918830075336356,0.890187381227805,0.720469467129057
"Firmicutes",0.720469467129057,0.828004698965161,0.828004698965161,0.890187381227805,0.918830075336356,0.918830075336356,0.663954368379485,0.663954368379485,0.890187381227805,0.663954368379485,0.890187381227805,0.828004698965161,0.663954368379485,0.663954368379485,0.918830075336356,0.890187381227805,0.890187381227805,0.828004698965161,0.720469467129057,0.890187381227805,0.720469467129057,0.720469467129057,0.828004698965161,0.590769949161727,0.918830075336356,1,0.720469467129057,0.890187381227805,0.890187381227805,0.918830075336356,0.918830075336356,0.828004698965161,0.828004698965161,0.890187381227805,0.828004698965161,0.890187381227805
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",0.918830075336356,0.720469467129057,0.918830075336356,1,0.890187381227805,0.720469467129057,5.24259090900296e-22,1,0.890187381227805,0.663954368379485,0.663954368379485,0.918830075336356,0.590769949161727,0.918830075336356,0.918830075336356,0.890187381227805,0.828004698965161,0.918830075336356,0.336474661216489,0.663954368379485,0.918830075336356,0.336474661216489,0.590769949161727,0.590769949161727,0.890187381227805,0.918830075336356,0.720469467129057,0.918830075336356,0.918830075336356,0.890187381227805,0.918830075336356,0.590769949161727,0.918830075336356,0.918830075336356,0.720469467129057,0.663954368379485
"Gemmatimonadota",3.12784164793935e-22,0.890187381227805,0.663954368379485,0.590769949161727,0.890187381227805,0.890187381227805,0.918830075336356,0.336474661216489,0.918830075336356,0.918830075336356,0.828004698965161,0.663954368379485,0.918830075336356,0.336474661216489,0.890187381227805,0.828004698965161,0.918830075336356,0.336474661216489,0.918830075336356,0.918830075336356,3.12784164793935e-22,1,0.918830075336356,0.890187381227805,0.720469467129057,0.890187381227805,0.918830075336356,0.918830075336356,0.918830075336356,0.720469467129057,0.890187381227805,0.918830075336356,0.663954368379485,0.828004698965161,0.890187381227805,0.918830075336356
