"","Harmala.alkaloids","Azaspirodecane.derivatives","Pyrroles","Dihydroisoquinolines","Isocoumarins.and.derivatives","Benzazepines","Phenol.esters","Indolonaphthyridine.alkaloids","Trithiolanes","Pyrrolizidines","Ergoline.and.derivatives","Lupin.alkaloids","Azolidines","Pyrrolizines","Saxitoxins..gonyautoxins..and.derivatives","Benzoxepines","Quinolizidines","X5..deoxyribonucleosides","Glycerolipids","Azetidines","Gelsemium.alkaloids","Pyrrolines","Daphniphylline.type.alkaloids","Aspidospermatan.type.alkaloids","Tropones","Aporphines","Dibenzylbutane.lignans","Aspidofractine.alkaloids","Naphthacenes","Cycloheptapyrans","Tannins","Tetrapyrroles.and.derivatives","Macrolide.lactams","Saccharolipids"
"Abditibacteriota",0.726828835082088,0.92168358488709,0.726828835082088,0.347573651777449,0.726828835082088,0.726828835082088,0.777203683577293,0.898749178074427,0.726828835082088,0.777203683577293,0.92168358488709,0.92168358488709,0.347573651777449,0.777203683577293,0.347573651777449,0.92168358488709,1,1,0.898749178074427,7.03610885155661e-22,0.898749178074427,0.726828835082088,0.347573651777449,0.347573651777449,0.871334532878964,0.726828835082088,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.726828835082088,1,0.777203683577293,0.871334532878964
"Acidobacteriota",0.347573651777449,0.898749178074427,0.347573651777449,5.25168474221915e-22,0.777203683577293,0.347573651777449,0.726828835082088,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.92168358488709,0.688137588930975,0.898749178074427,0.688137588930975,0.871334532878964,0.92168358488709,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.726828835082088,0.726828835082088,0.726828835082088,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.871334532878964,0.92168358488709,0.726828835082088,0.92168358488709
"Actinobacteriota",0.347573651777449,0.898749178074427,0.347573651777449,7.03610885155661e-22,0.777203683577293,0.347573651777449,0.726828835082088,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.92168358488709,0.688137588930975,0.898749178074427,0.688137588930975,0.871334532878964,0.92168358488709,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.726828835082088,0.726828835082088,0.726828835082088,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.871334532878964,0.92168358488709,0.726828835082088,0.92168358488709
"Armatimonadota",0.898749178074427,0.347573651777449,0.726828835082088,0.898749178074427,1,0.898749178074427,0.347573651777449,0.92168358488709,0.688137588930975,0.871334532878964,0.347573651777449,0.92168358488709,0.92168358488709,0.871334532878964,0.92168358488709,0.726828835082088,0.726828835082088,0.726828835082088,0.92168358488709,0.898749178074427,0.726828835082088,0.898749178074427,0.92168358488709,0.92168358488709,0.92168358488709,0.898749178074427,0.726828835082088,0.347573651777449,5.25168474221915e-22,0.92168358488709,0.898749178074427,0.726828835082088,0.347573651777449,0.898749178074427
"Bacteroidota",0.347573651777449,0.898749178074427,0.871334532878964,0.726828835082088,0.347573651777449,0.347573651777449,0.92168358488709,0.347573651777449,0.92168358488709,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.347573651777449,0.777203683577293,0.92168358488709,0.871334532878964,0.726828835082088,0.726828835082088,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.92168358488709,7.03610885155661e-22,0.92168358488709,0.898749178074427,0.92168358488709,0.92168358488709
"Bdellovibrionota",0.688137588930975,0.777203683577293,5.25168474221915e-22,0.347573651777449,0.898749178074427,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.92168358488709,0.777203683577293,0.92168358488709,0.777203683577293,0.92168358488709,0.777203683577293,0.726828835082088,0.898749178074427,0.898749178074427,0.898749178074427,0.726828835082088,0.92168358488709,1,0.898749178074427,0.898749178074427,0.777203683577293,0.688137588930975,0.92168358488709,0.777203683577293,0.726828835082088,0.871334532878964,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",0.777203683577293,1,0.898749178074427,0.726828835082088,0.347573651777449,0.777203683577293,0.898749178074427,0.871334532878964,0.871334532878964,0.726828835082088,1,0.92168358488709,0.726828835082088,0.726828835082088,0.726828835082088,0.92168358488709,0.92168358488709,0.92168358488709,0.871334532878964,0.347573651777449,0.898749178074427,0.347573651777449,7.03610885155661e-22,7.03610885155661e-22,0.92168358488709,0.777203683577293,0.898749178074427,1,0.92168358488709,0.726828835082088,0.777203683577293,0.92168358488709,0.898749178074427,0.777203683577293
"Cyanobacteria",0.898749178074427,0.777203683577293,0.92168358488709,0.898749178074427,1,0.898749178074427,0.92168358488709,0.898749178074427,0.92168358488709,0.871334532878964,0.777203683577293,0.898749178074427,0.777203683577293,0.871334532878964,0.777203683577293,0.898749178074427,0.688137588930975,0.688137588930975,0.898749178074427,0.898749178074427,0.688137588930975,0.92168358488709,0.92168358488709,0.92168358488709,0.347573651777449,0.898749178074427,0.688137588930975,0.777203683577293,0.871334532878964,0.92168358488709,0.726828835082088,0.688137588930975,0.92168358488709,0.92168358488709
"Dadabacteria",0.92168358488709,0.898749178074427,1,0.92168358488709,0.726828835082088,0.92168358488709,0.92168358488709,0.726828835082088,0.898749178074427,0.92168358488709,0.898749178074427,0.898749178074427,0.92168358488709,0.92168358488709,0.92168358488709,0.898749178074427,0.726828835082088,0.726828835082088,0.726828835082088,0.898749178074427,0.688137588930975,0.871334532878964,0.777203683577293,0.777203683577293,0.777203683577293,0.92168358488709,0.688137588930975,0.898749178074427,0.898749178074427,0.871334532878964,0.92168358488709,0.726828835082088,0.92168358488709,0.92168358488709
