from	to	rho	p
Organic_acid	Bacteroidota	0.9	0.0373860734684985
Organic_acid	Fibrobacterota	-0.9	0.0373860734684985
Organic_acid	Planctomycetota	-0.9	0.0373860734684985
Organic_acid	Proteobacteria	0.9	0.0373860734684985
Organic_acid	WPS.2	0.9	0.0373860734684985
Organic_acid	Unclassified	0.9	0.0373860734684985
Phenol_Flavonoid	Acidobacteriota	-0.9	0.0373860734684985
Phenol_Flavonoid	Actinobacteriota	0.9	0.0373860734684985
Phenol_Flavonoid	Bdellovibrionota	1	0
Phenol_Flavonoid	GAL15	-1	0
Phenol_Flavonoid	Methylomirabilota	-0.9	0.0373860734684985
Phenol_Flavonoid	NB1.j	-0.9	0.0373860734684985
Phenol_Flavonoid	Patescibacteria	-1	0
Alkaloid	Bacteroidota	-1	0
Alkaloid	Fibrobacterota	1	0
Alkaloid	Hydrogenedentes	-0.974679434480896	0.00481823046819851
Alkaloid	SAR324_clade.Marine_group_B.	0.9	0.0373860734684985
