from	to	rho	p
Unclassified	WPS-2	1	0
Fatty Acyls	Planctomycetota	-1	0
Fatty Acyls	Proteobacteria	1	0
Hydroxy acids and derivatives	Gemmatimonadota	-0.9	0.0373860734684985
Hydroxy acids and derivatives	Verrucomicrobiota	0.9	0.0373860734684985
Hydroxy acids and derivatives	WS2	-0.9	0.0373860734684985
Organic phosphonic acids and derivatives	Armatimonadota	1	0
Phenols	Armatimonadota	0.9	0.0373860734684985
Organic sulfuric acids and derivatives	Abditibacteriota	0.9	0.0373860734684985
Organic sulfuric acids and derivatives	Deinococcota	0.9	0.0373860734684985
Organic carbonic acids and derivatives	Bacteroidota	-1	0
Organic carbonic acids and derivatives	Fibrobacterota	1	0
Organic carbonic acids and derivatives	Hydrogenedentes	-0.974679434480896	0.00481823046819851
Organic carbonic acids and derivatives	SAR324_clade(Marine_group_B)	0.9	0.0373860734684985
Dihydrofurans	RCP2-54	0.9	0.0373860734684985
Organic sulfonic acids and derivatives	Sumerlaeota	-0.9	0.0373860734684985
Organic sulfonic acids and derivatives	unclassified_Bacteria	-1	0
Carboxylic acids and derivatives	WPS-2	0.9	0.0373860734684985
Benzene and substituted derivatives	WPS-2	1	0
Azoles	Armatimonadota	0.9	0.0373860734684985
Quinolines and derivatives	Bacteroidota	0.9	0.0373860734684985
Quinolines and derivatives	Fibrobacterota	-0.9	0.0373860734684985
Quinolines and derivatives	Hydrogenedentes	0.974679434480896	0.00481823046819851
Quinolines and derivatives	WPS-2	0.9	0.0373860734684985
Cinnamic acids and derivatives	Dadabacteria	-0.9	0.0373860734684985
Cinnamic acids and derivatives	Firmicutes	0.9	0.0373860734684985
Benzothiazoles	Deinococcota	0.9	0.0373860734684985
Imidazopyrimidines	Dadabacteria	-0.9	0.0373860734684985
Imidazopyrimidines	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Tropane alkaloids	Abditibacteriota	-0.9	0.0373860734684985
Tropane alkaloids	Deinococcota	-0.9	0.0373860734684985
Other mixed metal/non-metal oxoanionic compounds	Gemmatimonadota	0.9	0.0373860734684985
Other mixed metal/non-metal oxoanionic compounds	Verrucomicrobiota	-0.9	0.0373860734684985
Phenol ethers	Firmicutes	-0.9	0.0373860734684985
Indolizidines	Abditibacteriota	-1	0
Indolizidines	Acidobacteriota	0.9	0.0373860734684985
Indolizidines	Actinobacteriota	-0.9	0.0373860734684985
Indolizidines	Chloroflexi	0.9	0.0373860734684985
Indolizidines	Entotheonellaeota	0.9	0.0373860734684985
Indolizidines	Methylomirabilota	0.9	0.0373860734684985
Indolizidines	NB1-j	0.9	0.0373860734684985
Indolizidines	RCP2-54	0.9	0.0373860734684985
Indoles and derivatives	WPS-2	-1	0
Thiazinanes	Abditibacteriota	1	0
Thiazinanes	Acidobacteriota	-0.9	0.0373860734684985
Thiazinanes	Actinobacteriota	0.9	0.0373860734684985
Thiazinanes	Chloroflexi	-0.9	0.0373860734684985
Thiazinanes	Entotheonellaeota	-0.9	0.0373860734684985
Thiazinanes	Methylomirabilota	-0.9	0.0373860734684985
Thiazinanes	NB1-j	-0.9	0.0373860734684985
Thiazinanes	RCP2-54	-0.9	0.0373860734684985
Thiosulfinic acid esters	Bdellovibrionota	0.9	0.0373860734684985
Thiosulfinic acid esters	GAL15	-0.9	0.0373860734684985
Thiosulfinic acid esters	Patescibacteria	-0.9	0.0373860734684985
Isocoumarans	Gemmatimonadota	-0.9	0.0373860734684985
Isocoumarans	Verrucomicrobiota	0.9	0.0373860734684985
Isocoumarans	WS2	-0.9	0.0373860734684985
Phenylpropanoic acids	Acidobacteriota	0.9	0.0373860734684985
Phenylpropanoic acids	Actinobacteriota	-0.9	0.0373860734684985
Phenylpropanoic acids	Bdellovibrionota	-1	0
Phenylpropanoic acids	GAL15	1	0
Phenylpropanoic acids	Methylomirabilota	0.9	0.0373860734684985
Phenylpropanoic acids	NB1-j	0.9	0.0373860734684985
Phenylpropanoic acids	Patescibacteria	1	0
Furans	Armatimonadota	0.9	0.0373860734684985
Prenol lipids	Sumerlaeota	-0.9	0.0373860734684985
Benzopyrans	Armatimonadota	0.9	0.0373860734684985
Naphthalenes	Dadabacteria	-0.9	0.0373860734684985
Naphthalenes	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Coumarins and derivatives	Bacteroidota	0.9	0.0373860734684985
Coumarins and derivatives	Chloroflexi	-0.9	0.0373860734684985
Coumarins and derivatives	Entotheonellaeota	-0.9	0.0373860734684985
Coumarins and derivatives	Fibrobacterota	-0.9	0.0373860734684985
Coumarins and derivatives	SAR324_clade(Marine_group_B)	-1	0
Naphthofurans	Cyanobacteria	0.9	0.0373860734684985
Naphthofurans	Dependentiae	-1	0
Naphthofurans	Desulfobacterota	-0.9	0.0373860734684985
Naphthofurans	Elusimicrobiota	-0.9	0.0373860734684985
Naphthofurans	Firmicutes	-0.9	0.0373860734684985
Naphthofurans	Latescibacterota	-0.9	0.0373860734684985
Naphthofurans	MBNT15	-0.9	0.0373860734684985
Isoquinolines and derivatives	Bdellovibrionota	0.9	0.0373860734684985
Isoquinolines and derivatives	GAL15	-0.9	0.0373860734684985
Isoquinolines and derivatives	Patescibacteria	-0.9	0.0373860734684985
Azepines	Dependentiae	0.9	0.0373860734684985
Azepines	Firmicutes	1	0
Furopyrans	Deinococcota	0.9	0.0373860734684985
Furopyrans	Myxococcota	1	0
Furopyrans	Nitrospirota	-0.9	0.0373860734684985
Benzofurans	Gemmatimonadota	0.9	0.0373860734684985
Benzofurans	Verrucomicrobiota	-0.9	0.0373860734684985
Sulfoxides	Myxococcota	-0.9	0.0373860734684985
Anthracenes	Dadabacteria	-0.9	0.0373860734684985
Anthracenes	Firmicutes	0.9	0.0373860734684985
Pyrimidine nucleosides	Cyanobacteria	-0.9	0.0373860734684985
Pyrimidine nucleosides	Dadabacteria	-0.9	0.0373860734684985
Pyrimidine nucleosides	Gemmatimonadota	-1	0
Pyrimidine nucleosides	Verrucomicrobiota	1	0
Benzodioxoles	Armatimonadota	0.9	0.0373860734684985
Diazanaphthalenes	Abditibacteriota	-0.9	0.0373860734684985
Diazanaphthalenes	Chloroflexi	1	0
Diazanaphthalenes	Entotheonellaeota	1	0
Diazanaphthalenes	SAR324_clade(Marine_group_B)	0.9	0.0373860734684985
Phenanthrenes and derivatives	Armatimonadota	-1	0
Oxocins	Bacteroidota	-0.9	0.0373860734684985
Oxocins	Fibrobacterota	0.9	0.0373860734684985
Oxocins	Hydrogenedentes	-0.974679434480896	0.00481823046819851
Oxocins	WPS-2	-0.9	0.0373860734684985
Organonitrogen compounds	Chloroflexi	0.9	0.0373860734684985
Organonitrogen compounds	Entotheonellaeota	0.9	0.0373860734684985
Oxepanes	Dependentiae	-0.9	0.0373860734684985
Oxepanes	Planctomycetota	-0.9	0.0373860734684985
Oxepanes	Proteobacteria	0.9	0.0373860734684985
Oxepanes	WS2	0.9	0.0373860734684985
Naphthopyrans	Bacteroidota	1	0
Naphthopyrans	Fibrobacterota	-1	0
Naphthopyrans	Hydrogenedentes	0.974679434480896	0.00481823046819851
Naphthopyrans	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Bi- and oligothiophenes	WPS-2	-1	0
Organochlorides	Cyanobacteria	0.9	0.0373860734684985
Organochlorides	WS2	1	0
Tetrahydroisoquinolines	Chloroflexi	0.9	0.0373860734684985
Tetrahydroisoquinolines	Entotheonellaeota	0.9	0.0373860734684985
Purine nucleosides	Gemmatimonadota	-0.9	0.0373860734684985
Purine nucleosides	Verrucomicrobiota	0.9	0.0373860734684985
Dioxanes	Firmicutes	-0.9	0.0373860734684985
Isoflavonoids	Acidobacteriota	-0.9	0.0373860734684985
Isoflavonoids	Actinobacteriota	0.9	0.0373860734684985
Isoflavonoids	Bdellovibrionota	1	0
Isoflavonoids	GAL15	-1	0
Isoflavonoids	Methylomirabilota	-0.9	0.0373860734684985
Isoflavonoids	NB1-j	-0.9	0.0373860734684985
Isoflavonoids	Patescibacteria	-1	0
Benzoxazines	Dependentiae	0.9	0.0373860734684985
Benzoxazines	Planctomycetota	0.9	0.0373860734684985
Benzoxazines	Proteobacteria	-0.9	0.0373860734684985
Benzoxazines	WS2	-0.9	0.0373860734684985
2-arylbenzofuran flavonoids	Bdellovibrionota	0.9	0.0373860734684985
2-arylbenzofuran flavonoids	GAL15	-0.9	0.0373860734684985
2-arylbenzofuran flavonoids	Patescibacteria	-0.9	0.0373860734684985
Flavonoids	Abditibacteriota	0.9	0.0373860734684985
Flavonoids	Deinococcota	0.9	0.0373860734684985
Flavonoids	Desulfobacterota	-0.9	0.0373860734684985
Flavonoids	Elusimicrobiota	-0.9	0.0373860734684985
Flavonoids	Latescibacterota	-0.9	0.0373860734684985
Flavonoids	MBNT15	-0.9	0.0373860734684985
Flavonoids	RCP2-54	-1	0
Macrolides and analogues	Cyanobacteria	-0.9	0.0373860734684985
Vinylogous acids	Cyanobacteria	1	0
Vinylogous acids	Dependentiae	-0.9	0.0373860734684985
Vinylogous acids	Gemmatimonadota	0.9	0.0373860734684985
Vinylogous acids	Verrucomicrobiota	-0.9	0.0373860734684985
Vinylogous acids	WS2	0.9	0.0373860734684985
Piperidines	Cyanobacteria	-0.9	0.0373860734684985
Piperidines	Dependentiae	1	0
Piperidines	Desulfobacterota	0.9	0.0373860734684985
Piperidines	Elusimicrobiota	0.9	0.0373860734684985
Piperidines	Firmicutes	0.9	0.0373860734684985
Piperidines	Latescibacterota	0.9	0.0373860734684985
Piperidines	MBNT15	0.9	0.0373860734684985
Stilbenes	WPS-2	1	0
Linear 1,3-diarylpropanoids	Armatimonadota	0.9	0.0373860734684985
Amaryllidaceae alkaloids	Acidobacteriota	0.9	0.0373860734684985
Amaryllidaceae alkaloids	Actinobacteriota	-0.9	0.0373860734684985
Amaryllidaceae alkaloids	Bdellovibrionota	-1	0
Amaryllidaceae alkaloids	GAL15	1	0
Amaryllidaceae alkaloids	Methylomirabilota	0.9	0.0373860734684985
Amaryllidaceae alkaloids	NB1-j	0.9	0.0373860734684985
Amaryllidaceae alkaloids	Patescibacteria	1	0
Benzodiazepines	Deinococcota	1	0
Benzodiazepines	Myxococcota	0.9	0.0373860734684985
Benzodiazepines	RCP2-54	-0.9	0.0373860734684985
Steroids and steroid derivatives	Sumerlaeota	-0.9	0.0373860734684985
Diarylheptanoids	Dependentiae	0.9	0.0373860734684985
Diarylheptanoids	Firmicutes	1	0
Tetralins	RCP2-54	0.9	0.0373860734684985
Furanoid lignans	Cyanobacteria	0.9	0.0373860734684985
Furanoid lignans	Dadabacteria	0.9	0.0373860734684985
Furanoid lignans	Gemmatimonadota	1	0
Furanoid lignans	Verrucomicrobiota	-1	0
Acyl halides	Abditibacteriota	0.9	0.0373860734684985
Acyl halides	Deinococcota	0.9	0.0373860734684985
Acyl halides	Desulfobacterota	-0.9	0.0373860734684985
Acyl halides	Elusimicrobiota	-0.9	0.0373860734684985
Acyl halides	Latescibacterota	-0.9	0.0373860734684985
Acyl halides	MBNT15	-0.9	0.0373860734684985
Acyl halides	RCP2-54	-1	0
Isobenzofurans	Dadabacteria	-0.9	0.0373860734684985
Isobenzofurans	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Furofurans	Cyanobacteria	-0.9	0.0373860734684985
Indanes	Bacteroidota	0.9	0.0373860734684985
Indanes	Chloroflexi	-0.9	0.0373860734684985
Indanes	Entotheonellaeota	-0.9	0.0373860734684985
Indanes	Fibrobacterota	-0.9	0.0373860734684985
Indanes	SAR324_clade(Marine_group_B)	-1	0
Fluorenes	Abditibacteriota	0.9	0.0373860734684985
Fluorenes	Deinococcota	0.9	0.0373860734684985
Angucyclines	Acidobacteriota	-0.9	0.0373860734684985
Angucyclines	Actinobacteriota	0.9	0.0373860734684985
Angucyclines	Bdellovibrionota	1	0
Angucyclines	GAL15	-1	0
Angucyclines	Methylomirabilota	-0.9	0.0373860734684985
Angucyclines	NB1-j	-0.9	0.0373860734684985
Angucyclines	Patescibacteria	-1	0
Aryltetralin lignans	Dadabacteria	1	0
Aryltetralin lignans	Gemmatimonadota	0.9	0.0373860734684985
Aryltetralin lignans	Verrucomicrobiota	-0.9	0.0373860734684985
Carboximidic acids and derivatives	Myxococcota	-0.9	0.0373860734684985
Carboximidic acids and derivatives	Sumerlaeota	-0.9	0.0373860734684985
Carboximidic acids and derivatives	WPS-2	0.9	0.0373860734684985
Perylenequinones	Planctomycetota	0.9	0.0373860734684985
Perylenequinones	Proteobacteria	-0.9	0.0373860734684985
Pyridopyrimidines	Dadabacteria	-0.9	0.0373860734684985
Pyridopyrimidines	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Benzophenanthridine alkaloids	Myxococcota	-0.9	0.0373860734684985
Benzophenanthridine alkaloids	Nitrospirota	1	0
Benzophenanthridine alkaloids	Sumerlaeota	-0.9	0.0373860734684985
Sphingolipids	Cyanobacteria	1	0
