OTU ID,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
ASV_1,0,0,0,0,0
ASV_3,0,1,3,0,0
ASV_4,0,0,0,0,0
ASV_5,9,0,0,0,0
ASV_6,0,0,0,0,0
ASV_7,0,0,0,0,0
ASV_8,0,0,0,0,0
ASV_9,0,0,0,0,0
ASV_13,0,0,0,0,0
ASV_14,0,0,0,0,0
ASV_16,0,0,0,0,0
ASV_18,0,0,0,0,0
ASV_21,0,0,0,0,0
ASV_22,0,0,0,0,0
ASV_23,0,0,0,0,0
ASV_24,0,0,0,0,0
ASV_27,0,0,7,0,0
ASV_29,0,0,4,0,0
ASV_30,0,0,0,0,0
ASV_31,0,0,0,0,0
ASV_33,0,0,0,0,0
ASV_34,0,0,0,0,0
ASV_35,0,0,0,0,0
ASV_38,0,0,0,0,0
ASV_39,0,2,0,0,0
ASV_40,0,0,0,0,0
ASV_41,0,0,0,7,0
ASV_43,0,0,0,0,0
ASV_44,0,0,0,0,0
ASV_45,0,0,4,0,0
ASV_46,0,0,0,0,0
ASV_47,0,0,0,0,0
ASV_48,0,0,0,0,0
ASV_49,0,0,0,0,0
ASV_50,0,0,0,4,0
ASV_51,0,0,0,21,16
ASV_52,0,0,0,0,0
ASV_53,0,0,0,0,0
ASV_55,0,0,0,0,0
ASV_56,0,0,0,0,0
ASV_57,0,0,0,0,0
ASV_58,0,0,0,0,0
ASV_61,0,0,0,0,0
ASV_62,3,0,0,0,0
ASV_63,0,0,0,0,0
ASV_64,0,0,0,0,0
ASV_65,0,0,0,0,6
ASV_66,0,0,0,0,3
ASV_69,0,0,0,0,0
ASV_70,0,0,0,0,0
ASV_71,0,0,0,0,0
ASV_72,0,0,0,0,0
ASV_73,0,0,0,0,0
ASV_74,0,0,0,0,0
ASV_75,0,0,0,0,0
ASV_78,0,0,0,0,0
ASV_79,0,0,0,0,0
ASV_81,0,0,0,0,0
ASV_82,0,0,0,0,0
ASV_83,0,0,0,0,0
ASV_84,0,0,5,0,0
ASV_86,0,0,0,0,0
ASV_87,0,0,0,0,0
ASV_88,0,0,0,0,0
ASV_89,0,0,0,0,0
ASV_90,0,0,0,0,0
ASV_91,0,0,0,0,0
ASV_92,0,0,0,0,0
ASV_93,0,0,0,0,0
ASV_96,0,5,0,8,7
ASV_97,0,0,0,0,0
ASV_99,0,0,0,0,0
ASV_101,0,0,0,0,0
ASV_102,0,0,0,0,0
ASV_104,0,0,12,19,24
ASV_106,0,0,0,2,0
ASV_107,0,0,8,0,0
ASV_109,0,0,0,0,0
ASV_110,0,0,0,0,0
ASV_111,0,0,0,0,0
ASV_112,0,0,0,0,0
ASV_113,0,0,0,0,0
ASV_114,0,0,0,0,0
ASV_115,0,0,0,0,0
ASV_116,0,0,0,0,0
ASV_117,0,0,0,0,0
ASV_118,0,0,0,0,0
ASV_119,0,0,0,0,2
ASV_120,0,0,0,0,0
ASV_122,0,0,0,0,0
ASV_124,0,0,0,0,0
ASV_125,0,0,0,0,0
ASV_126,0,0,0,0,0
ASV_127,0,0,0,0,0
ASV_128,0,0,0,0,0
ASV_129,0,0,0,0,0
ASV_130,0,0,0,0,0
ASV_131,0,0,0,0,0
ASV_132,0,0,0,0,4
ASV_133,0,0,0,0,0
ASV_136,0,0,0,0,0
ASV_138,0,3,0,0,0
ASV_140,0,0,8,0,0
ASV_141,7,0,0,0,0
ASV_142,0,0,0,0,0
ASV_143,0,0,0,0,0
ASV_144,0,0,0,0,0
ASV_145,63,24,53,83,38
ASV_146,0,0,0,0,0
ASV_147,0,0,0,0,0
ASV_148,0,0,0,0,0
ASV_149,0,0,0,0,0
ASV_150,0,0,0,0,0
ASV_151,0,5,0,0,0
ASV_152,0,0,0,0,0
ASV_155,0,0,13,0,0
ASV_158,0,4,0,0,0
ASV_159,0,3,0,0,0
ASV_160,0,0,0,0,0
ASV_161,0,0,0,0,0
ASV_162,0,0,0,0,0
ASV_163,0,0,0,0,0
ASV_164,0,0,0,0,0
ASV_165,0,0,0,0,0
ASV_166,0,0,0,0,0
ASV_168,0,0,0,0,0
ASV_171,0,0,0,0,0
ASV_172,0,0,2,0,0
ASV_173,0,0,0,0,0
ASV_174,0,0,0,0,0
ASV_177,0,0,0,0,0
ASV_179,0,0,0,0,0
ASV_180,0,0,0,0,0
ASV_181,0,12,0,55,29
ASV_185,0,0,0,0,0
ASV_187,0,0,0,0,0
ASV_188,0,6,0,0,0
ASV_189,0,0,0,0,0
ASV_191,0,0,0,0,0
ASV_192,0,0,0,0,0
ASV_193,0,0,0,0,0
ASV_194,0,0,0,0,0
ASV_195,0,131,49,74,0
ASV_196,0,0,0,0,0
ASV_198,3,0,0,0,0
ASV_199,0,0,0,0,0
ASV_200,0,0,0,0,0
ASV_201,0,0,3,0,1
ASV_202,0,0,0,0,0
ASV_203,0,0,0,0,0
ASV_204,0,18,44,10,0
ASV_208,0,0,0,0,0
ASV_209,0,0,0,0,0
ASV_210,0,0,0,0,0
ASV_211,0,0,0,0,0
ASV_212,0,0,0,0,0
ASV_213,0,0,2,0,0
ASV_214,0,0,0,0,0
ASV_215,0,0,0,0,0
ASV_216,0,0,0,0,0
ASV_217,0,9,0,0,0
ASV_218,14,0,7,8,0
ASV_219,0,0,0,0,0
ASV_220,0,0,0,0,0
ASV_222,0,0,0,0,0
ASV_224,0,0,0,0,0
ASV_226,0,0,0,0,0
ASV_227,0,0,0,0,0
ASV_229,0,0,0,0,0
ASV_230,0,0,0,0,0
ASV_231,0,0,0,0,0
ASV_232,7,0,0,0,0
ASV_233,0,0,0,0,0
ASV_234,0,0,0,0,0
ASV_235,0,0,0,0,0
ASV_236,0,0,0,0,0
ASV_237,0,0,0,0,0
ASV_240,0,0,0,0,0
ASV_241,0,0,0,0,0
ASV_242,0,0,0,0,0
ASV_243,0,0,0,0,0
ASV_245,0,0,0,0,0
ASV_246,0,0,0,0,0
ASV_247,0,0,0,0,0
ASV_248,0,0,0,0,0
ASV_249,0,0,0,0,0
ASV_250,0,0,0,0,0
ASV_252,0,0,0,0,0
ASV_253,0,0,0,0,0
ASV_254,0,0,3,0,0
ASV_255,0,0,0,0,0
ASV_256,0,0,0,0,0
ASV_257,0,0,0,0,0
ASV_259,0,0,0,0,0
ASV_261,0,0,0,0,0
ASV_262,0,0,0,0,0
ASV_263,0,0,0,0,0
ASV_264,0,0,0,0,0
ASV_265,0,0,5,0,0
ASV_266,0,0,0,0,0
ASV_267,0,0,0,0,0
ASV_268,0,0,4,0,0
ASV_269,0,0,0,0,3
ASV_270,0,0,0,0,0
ASV_272,0,0,0,0,0
ASV_275,0,0,0,0,0
ASV_277,0,0,0,0,0
ASV_278,0,4,0,7,0
ASV_280,0,0,0,0,0
ASV_281,0,0,0,0,0
ASV_282,0,0,0,2,0
ASV_283,0,0,0,0,0
ASV_287,0,0,0,0,0
ASV_288,0,0,0,0,0
ASV_290,0,0,0,0,0
ASV_291,0,0,0,0,0
ASV_292,0,0,0,0,0
ASV_293,0,0,0,0,0
ASV_295,4,0,0,0,0
ASV_296,0,0,0,0,0
ASV_297,0,0,0,0,0
ASV_302,0,0,2,0,0
ASV_303,0,0,0,0,0
ASV_306,0,40,0,15,0
ASV_307,0,0,0,0,0
