Class	YS0_F	YS25_F	YS50_F	YS75_F	YS100_F
Steroids and steroid derivatives	307589695.6	302503873.5	309000016.7	304263516.6	272727374.4
Diarylheptanoids	13974829.21	15404953.62	64602647.93	12527393.58	10583293.05
Tetralins	6733965.396	8583885.293	4527627.572	7633717.409	4178664.773
Furanoid lignans	7921290.891	10280462.34	11865731.18	12177494.25	12363562.9
Acyl halides	109233.8468	7442.458593	107244.8501	71936.56563	333964.1189
Isobenzofurans	439905.7377	8730.960594	62579.901	10366.89871	5209.989598
Furofurans	106233117.6	107090985.3	34484069.6	74671489.88	22196515.26
Indanes	67352753.83	30841110.32	40178081.58	38692203.49	37538288.46
Fluorenes	3373665.623	757017.0807	780779.9935	350234.7155	794118.3925
Angucyclines	4845891.991	1460543.912	884745.1653	1578061.974	1900861.082
Aryltetralin lignans	443.9562487	513.7271006	468.6935073	651.079911	1269.335928
Carboximidic acids and derivatives	9888210490	9676223614	10183584199	10379068810	9632920956
Perylenequinones	1140479.938	1342253.7	1571167.993	976717.6591	1271688.367
Oxanes	25491261.73	12445690.37	8713461.313	12550383.29	11360606.99
Pyridopyrimidines	1596126.616	462803.0131	675726.3109	549063.862	391189.5978
Benzophenanthridine alkaloids	2131959.248	2688280.37	4345688.813	4133528.598	1594323.96
Sphingolipids	26316572.27	22371303.6	28482055.21	31048384.04	32566167.82
Isoindoles and derivatives	3436126.312	2746146.436	3553818.598	2654435.669	3859390.69
Arylnaphthalene lignans	2287916.293	1436949.414	1722135.436	1386766.556	1498277.542
Depsides and depsidones	1309476.8	618478.0391	1151679.858	531914.1796	1568941.779
Plumeran-type alkaloids	1419317.199	1752424.829	1817167.272	2010794.463	1999680.51
Neoflavonoids	1809895.401	567607.6187	404694.509	1349807.646	930851.7632
Glycerophospholipids	70775916.39	93201763.79	82051075.85	92422627.91	72176017.87
Peptidomimetics	128602881.7	130877561.8	152654098	161322409.3	163154758.5
Macrolactams	2607156.239	16851201.98	8848437.207	7109364.935	6627152.563
Strychnos alkaloids	503122.1386	14911649.78	6681670.424	4220271.114	6218399.623
Pyrrolidines	208924878.7	247480088.5	239920361.8	212182981.2	169525567.5
Tetrahydrofurans	7005628.781	9037255.772	8125355.935	7720581.041	9159722.417
Unsaturated hydrocarbons	79941583.08	72370921.27	68582739.28	80715383.22	63476213.18
Polycyclic hydrocarbons	13667797.23	9408397.843	10840183.09	14544908.39	13594519.48
Lactams	5719249.937	1737063.226	7452263.015	707192.0472	7071798.677
Organic phosphoric acids and derivatives	12668072.68	21059745.48	12407609.83	13281131.94	14520968.68
Acenaphthylenes	2332926.677	2505374.79	2451200.998	2413364.612	4121797.526
Quinolizines	22246113.18	15436278.26	16829494.13	22590346.08	13616911.11
Imidazodiazepines	4006179.019	1337899.198	1589800.7	2693652.603	1718565.657
"Allyl-type 1,3-dipolar organic compounds"	1768408.68	2328317.787	1931687.2	2029158.722	2447226.887
Organic oxides	2925717.781	4633145.055	2251376.721	3737303.752	2140645.834
Pteridines and derivatives	1454268.343	1058504.567	1389458.501	1332469.639	1678941.205
Azepanes	4118670.782	8649590.083	5177370.719	7026853.774	4203402.325
Harmala alkaloids	5553301.328	2374448.517	2807608.738	3312055.701	3153144.699
Azaspirodecane derivatives	23023811.47	16714026.89	14422821.17	15920012.06	15595228.31
Pyrroles	2596602.95	1591391.97	1576582.653	1637513.561	1718932.143
Dihydroisoquinolines	482611.2958	1912927.556	1105548.507	732379.328	521464.5829
Isocoumarins and derivatives	2506042.966	1202772.142	1267517.354	1248111.298	1227895.267
Benzazepines	946676.8269	464251.149	498582.4624	638396.0111	604505.5106
Phenol esters	3897846.936	6684236.644	10040464.92	7104257.934	6650656.743
Indolonaphthyridine alkaloids	634973.0568	42385.64567	50278.11486	60295.97489	17563.16571
Trithiolanes	309270189.4	370064762.8	396420963.6	402187795.7	362208750.2
Pyrrolizidines	52081933.43	58626028.07	35537051.82	56579501.67	46321726.71
Ergoline and derivatives	1348600.209	259571.053	111352.854	237452.7813	159860.8246
Lupin alkaloids	1699429.313	1383976.869	1360867.62	1805040.639	1109081.373
Azolidines	10729088.75	14209480.69	10766812.95	13136177.88	8948365.838
Pyrrolizines	3552743.061	4238782.547	2977118.867	3623191.225	3046295.062
"Saxitoxins, gonyautoxins, and derivatives"	613739.109	1185755.678	945495.2995	1061499.002	112883.7567
Benzoxepines	41105953.18	1295916.937	505070.3418	2465603.932	962065.5011
Quinolizidines	1696893.799	1573867.917	1094949.239	1346973.438	962457.057
5'-deoxyribonucleosides	3862742.091	771976.5191	657100.1975	704362.6666	519506.0618
Glycerolipids	44088338.08	32957807.3	34396696.74	35775524.5	32933704.01
Azetidines	174371.4026	3328860.441	230234.7875	293095.1187	187564.044
Gelsemium alkaloids	13227975.51	14824154	17459565.8	20365893.11	19172702.04
Pyrrolines	13815.15997	5432022.056	5274.89232	20770.88656	15928.01498
Daphniphylline-type alkaloids	5027876.261	1060059.619	4026086.499	2481806.931	3994310.968
Aspidospermatan-type alkaloids	9910726.559	1510876.855	9602021.19	7602181.468	7667970.818
Tropones	355537.819	400102.8051	392341.0262	349167.0771	175064.2629
Aporphines	165002.373	31201.10087	42797.46213	96893.50683	60763.61522
Dibenzylbutane lignans	2518874.023	2365068.397	2104478.941	1481010.342	1770743.16
Aspidofractine alkaloids	988187.2108	296030.3956	9063.493202	275895.1467	209709.5141
Naphthacenes	1744255.894	1455674.658	651053.255	871689.0058	1180659.635
Cycloheptapyrans	477150.8445	620685.237	554034.7442	545188.9942	596429.3466
Tannins	369846.5045	666344.8929	360038.4738	475187.6631	57965.49396
Tetrapyrroles and derivatives	311620.1587	378035.9659	506442.5662	381048.974	514569.1063
Macrolide lactams	5735398.279	16537202.36	38820067.05	37860575.97	14991450.54
Saccharolipids	1689457.269	1415830.6	2768800.761	1146212.057	2646840.195
