Class	YS0_F	YS25_F	YS50_F	YS75_F	YS100_F
Unclassified	2.93109E+11	2.68816E+11	2.70939E+11	2.9655E+11	2.63021E+11
Fatty Acyls	14754727168	12394357801	13902382370	16000375476	14312308580
Organooxygen compounds	732135220.9	691405744	613735050.1	991712561.3	615851214.5
Hydroxy acids and derivatives	22245801.74	19473612.99	19016375.63	18508032.71	18509668.75
Organic phosphonic acids and derivatives	15838508.7	11597856.99	10456929.59	11096653.69	11102142.91
Heteroaromatic compounds	62435166.84	34371194.62	22092326.02	36216893.58	30685823.75
Phenols	190782167	115318673.3	105482736.8	112430366.7	110889800.4
Organic sulfuric acids and derivatives	146285059.4	34274248.56	34346492.67	28359235.36	61291500.09
Diazines	18083579.87	6393148.147	5309492.631	7350026.916	4908768.799
Organic carbonic acids and derivatives	8389406.793	9453111.933	8552714.401	8462666.443	9174947.308
Keto acids and derivatives	2501316.468	2135289.646	2911223.264	2135160.465	2364360.616
Dihydrofurans	11084514.33	12912310.02	10055411.83	12329068.96	5957223.509
Lactones	526314346.2	268154308.2	114849601.4	392560121.8	135814818.8
Organic sulfonic acids and derivatives	3988917.278	2229669.742	4482552.815	4184029.506	3735114.506
Carboxylic acids and derivatives	318762214.5	287139426.6	263199774.9	339060147.7	255518179.6
Benzene and substituted derivatives	438276140.3	377566344.2	391947400.9	515118632.4	375596341.9
Azoles	9218853.317	2329201.568	1111900.562	2237502.117	2182124.255
Quinolines and derivatives	48814985.17	36679801.57	37144410.78	46266034.66	35400022.49
Cinnamic acids and derivatives	113544820.8	95494018.67	166854817.1	81050175.49	60893260.1
Benzothiazoles	3897136.932	3881182.342	3929688.212	3740129.309	3978935.52
Imidazopyrimidines	26954660.87	10604568.69	15165741	11611661.91	8163194.15
Pyrans	92380515.14	100007956.8	85664025.67	99955251.2	85830436.37
Tropane alkaloids	23601377.7	48330177.78	38506045.66	49059094.7	32405940.82
Other mixed metal/non-metal oxoanionic compounds	835788.2968	843387.2749	906703.1287	896731.6019	973924.195
Pyridines and derivatives	29155898.02	23270313.97	19806775.34	23598602.73	16520063.31
Phenol ethers	17025925.58	16860280.81	12730456.48	20774965.09	17563758.12
Indolizidines	14724712.64	16124582.72	14975497.87	15588846.45	14807019.22
Indoles and derivatives	163228329.7	245082731.8	233452742.9	137942435.7	263913726
Thiazinanes	79808.19718	16087.27986	40264.97664	22832.77236	62212.95317
Thiosulfinic acid esters	558146.6791	79542.70174	73152.48714	110267.9349	102769.0492
Isocoumarans	580790.2195	357894.973	307440.1008	191590.7292	215629.86
Phenylpropanoic acids	5683107.56	6072719.531	6151544.315	6019901.707	5817422.478
Furans	800718.2514	37391.33749	33452.54914	34320.3803	33672.73207
Prenol lipids	1618412655	1442761304	1691107075	1456828148	1334078650
Benzopyrans	734570869.9	482196776.9	429615442.7	408020947.3	444094885.2
Naphthalenes	8658829.751	5457606.524	5874275.105	5595092.078	5341558.774
Coumarins and derivatives	327793757.6	37847844.04	39953090.92	39321087.65	39084066.09
Naphthofurans	24173226.53	18332787.55	20593208.78	25115173.18	34997930.66
Isoquinolines and derivatives	1195157.316	1016337.638	883047.0327	1039049.095	1030233.065
Azepines	219507.9759	233669.8086	263881.9276	188216.1529	182632.0256
Furopyrans	622170.4031	141246.3074	133312.1899	65435.43024	907183.007
Benzofurans	26561427.47	27202908.22	29418722.13	28374642.42	30395873.29
Sulfoxides	15212659.28	17692565.79	18678681.95	18847321.68	16584840.87
Anthracenes	4188458.827	1958576.025	26439881.32	1856581.571	1433918.355
Pyrimidine nucleosides	22436156.7	5354920.375	4555924.984	4518170.924	2365715.583
Benzodioxoles	303253.4377	185247.1764	60469.94173	45889.3615	109729.8244
Diazanaphthalenes	1011638.745	1444243.464	1140359.793	1417413.144	1298639.133
Phenanthrenes and derivatives	4427142.598	6180420.001	12444766.93	9921582.326	9834443.261
Oxocins	3231295.517	4167824.288	4103745.466	3725754.189	4298438.749
Organonitrogen compounds	756451936.2	1014755243	734486112.3	952167718.7	761663312.5
Oxepanes	2692117.695	2227723.528	2412166.501	3033308.336	3011577.55
Naphthopyrans	75490255.02	47222235.48	52182549.55	57782028.05	48834550.73
Bi- and oligothiophenes	8377533.871	9545719.542	8750558.309	8257272.917	10246581.92
Organochlorides	10631327.96	391502.7076	10958559.25	13576162.93	11601920.77
Azaphilones	11282.33771	17338.03558	7375.969101	125126.2192	11365.86844
Tetrahydroisoquinolines	38408989.59	46121358.86	43752894.88	51437409.1	45226331.65
Purine nucleosides	65395205.33	22600370.2	16014006.91	21039653.52	10477136.83
Dioxanes	5430655.603	5409630.433	5155541.397	5914170.189	5858724.693
Isoflavonoids	142596134.3	25083557.61	19307951.54	25848792.95	96962243.37
Benzoxazines	152227.9034	284700.8824	178204.7363	113375.4192	117286.1052
2-arylbenzofuran flavonoids	11978738.06	782763.5227	761752.2456	1955845.152	1198249.911
Flavonoids	205535263.4	198145203	202204593.6	201446966.4	496699366.7
Macrolides and analogues	153707904.7	201269173.6	150192199	152197424	138066418
Vinylogous acids	984095.2311	596654.4177	1447867.417	1592820.032	1754844.995
Piperidines	85286253.14	91203399.22	88337412.46	83062872.71	78276359.47
Stilbenes	57192968.73	51115008.22	54392039.13	58330301.32	50725896.18
"Linear 1,3-diarylpropanoids"	18782064.67	16016656.58	10446918.33	15792082.67	15613223.18
Amaryllidaceae alkaloids	1417642.181	1527267.178	1552343.07	1522957.625	1515853.511
Benzodiazepines	112520.0123	93023.51725	98499.52342	89696.47372	121992.8591
