Taxon,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
d__Bacteria;p__Abditibacteriota;c__Abditibacteria,0.001697679,5.39E-05,0.000482252,0.000256351,0.001110186
d__Bacteria;p__Acidobacteriota;c__AT-s3-28,0.000200513,0.000376988,0.000379956,0.000148414,0.000114284
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae,0.004692012,0.00308322,0.003711877,0.004290514,0.003640757
d__Bacteria;p__Acidobacteriota;c__Acidobacteriota,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia,0.06104962,0.087218774,0.068348215,0.060647355,0.072749833
d__Bacteria;p__Acidobacteriota;c__Holophagae,0.006376323,0.006220295,0.009148168,0.007650067,0.006987641
d__Bacteria;p__Acidobacteriota;c__Subgroup_11,0.000147043,0.000471234,0.000423797,0.000229367,6.53E-05
d__Bacteria;p__Acidobacteriota;c__Subgroup_18,6.68E-05,0.00052509,0.000453024,0.000242859,4.90E-05
d__Bacteria;p__Acidobacteriota;c__Subgroup_20,6.68E-05,0.000121175,0.000160751,9.44E-05,0
d__Bacteria;p__Acidobacteriota;c__Subgroup_22,0.000133676,0.003190931,0.000657616,0.000782547,0.000163263
d__Bacteria;p__Acidobacteriota;c__Subgroup_25,0.000240616,0.00122521,0.001008344,0.000566672,0.000424483
d__Bacteria;p__Acidobacteriota;c__Subgroup_5,0.000574805,0.001952257,0.000701457,0.000809531,0.000146936
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,0.00316811,0.006314542,0.004047991,0.003076217,0.003085664
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria,0.073962678,0.103913939,0.081515147,0.084595977,0.064945878
d__Bacteria;p__Acidobacteriota;c__unclassified_Acidobacteriota,2.67E-05,9.42E-05,7.31E-05,0,0.00013061
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,0.035664635,0.038520054,0.034809803,0.041124169,0.033468841
d__Bacteria;p__Actinobacteriota;c__Actinobacteria,0.147230243,0.072879781,0.097385611,0.127406668,0.137842647
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,0,0,2.92E-05,0,3.27E-05
d__Bacteria;p__Actinobacteriota;c__MB-A2-108,0.015265747,0.031801597,0.038244019,0.020251764,0.016260959
d__Bacteria;p__Actinobacteriota;c__Rubrobacteria,0.023794247,0.011538513,0.012450861,0.020508116,0.030105631
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia,0.062346273,0.061987532,0.08354645,0.059001309,0.063966303
d__Bacteria;p__Actinobacteriota;c__unclassified_Actinobacteriota,0.000481232,0.000161566,0.001490596,0.000418258,0.000506114
d__Bacteria;p__Armatimonadota;c__Armatimonadia,0.001577371,0.000296205,0.000438411,0.001065882,0.00096325
d__Bacteria;p__Armatimonadota;c__Chthonomonadetes,0.000521335,0.000848222,0.000116909,0.000175398,0.00013061
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia,0.000187146,0.000929005,0.000453024,0.000296828,8.16E-05
d__Bacteria;p__Armatimonadota;c__unclassified_Armatimonadota,0,0,0,0,8.16E-05
d__Bacteria;p__Armatimonadota;c__uncultured,0.000561437,0.000417379,0.000350728,0.000566672,0.001191817
d__Bacteria;p__Bacteroidota;c__Bacteroidia,0.047080526,0.031666958,0.036212717,0.036793178,0.032815791
d__Bacteria;p__Bacteroidota;c__Ignavibacteria,0.000227248,0.000605873,0.000365342,0.000391273,9.80E-05
d__Bacteria;p__Bacteroidota;c__Kapabacteria,0.001122875,0.00140024,0.000964503,0.001227788,0.000604072
d__Bacteria;p__Bacteroidota;c__Kryptonia,0,4.04E-05,5.85E-05,0,0
d__Bacteria;p__Bacteroidota;c__Rhodothermia,0.000802053,0.000269277,0.000453024,0.000715086,0.000914271
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,0.002339322,0.001386776,0.001373687,0.001578585,0.00187752
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia,0.001470431,0.000942469,0.000906049,0.00105239,0.000881618
d__Bacteria;p__Bdellovibrionota;c__unclassified_Bdellovibrionota,0,4.04E-05,0,0,0
d__Bacteria;p__Campylobacterota;c__Campylobacteria,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__AD3,2.67E-05,0,0,0,0
d__Bacteria;p__Chloroflexi;c__Anaerolineae,0.00918351,0.013019536,0.008592848,0.011967565,0.010971249
d__Bacteria;p__Chloroflexi;c__Chloroflexia,0.040236338,0.028193287,0.030060355,0.03748128,0.045876802
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia,0.001470431,0.00500855,0.00273276,0.003103202,0.002040783
d__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.008140841,0.008239872,0.012494703,0.010200089,0.00607337
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66,0.003288418,0.004200719,0.002557395,0.003251616,0.002465266
d__Bacteria;p__Chloroflexi;c__KD4-96,0.026307347,0.040741588,0.035350509,0.030883603,0.025077142
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.00256657,0.000929005,0.001768256,0.00105239,0.00336321
d__Bacteria;p__Chloroflexi;c__OLB14,0.000534702,0.000673192,0.000423797,0.000404765,0.000342852
d__Bacteria;p__Chloroflexi;c__P2-11E,0.001350123,0.007957131,0.006371568,0.003427014,0.003053011
d__Bacteria;p__Chloroflexi;c__SHA-26,0.000360924,0.000161566,0.000175364,5.40E-05,0.000146936
d__Bacteria;p__Chloroflexi;c__TK10,0.009143407,0.008684179,0.006693069,0.008864363,0.009730453
d__Bacteria;p__Chloroflexi;c__unclassified_Chloroflexi,0.000160411,0.000242349,0.000204592,9.44E-05,0.000342852
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,9.36E-05,0,4.38E-05,0,0.000979576
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia,0.000481232,0.000121175,0.000599161,0.000769054,0.000604072
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,0.000173778,0.000242349,0.000189978,0.00012143,0.000146936
d__Bacteria;p__Dadabacteria;c__Dadabacteriia,0,0.000107711,5.85E-05,0.00012143,0.00013061
d__Bacteria;p__Deferribacterota;c__Deferribacteres,0,0,0,0,0
d__Bacteria;p__Deinococcota;c__Deinococci,0.000173778,4.04E-05,4.38E-05,2.70E-05,0.000293873
d__Bacteria;p__Dependentiae;c__Babeliae,0.000253984,0.000578945,0.00027766,0.000161906,3.27E-05
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,0,0,0,0,0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,0.000213881,0.000336596,0.000102296,6.75E-05,6.53E-05
d__Bacteria;p__Desulfobacterota;c__unclassified_Desulfobacterota,0,0,0,0,0
d__Bacteria;p__Desulfobacterota;c__uncultured,0.000935729,0.003581382,0.00166596,0.001403187,0.00013061
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,0.000173778,0.000228885,0.000189978,6.75E-05,0.000163263
d__Bacteria;p__Elusimicrobiota;c__Endomicrobia,0,8.08E-05,0,0,0
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa,0.000574805,0.000780903,0.000920662,0.00074207,0.000424483
