ID,YS0_F,YS25_F,YS50_F,YS75_F,YS100_F,
MN0.neg,107277.8107,110566.1085,90650.45964,92047.39225,107566.1347,Unclassified
MN5.neg,8983.407074,6031.514831,7169.468507,38148.26001,5978.306857,Unclassified
MN26.neg,25875.56301,22777.12321,59561.94257,28042.09311,50174.13182,Unclassified
MN74.neg,26789.72146,52917.07136,49150.10709,77155.71562,543752.2131,Unclassified
MN81.neg,1039323.449,822092.5949,825343.1136,995150.7349,748885.3584,Unclassified
MN82.neg,133658.8272,106680.6675,46820.77195,142757.9918,98990.26729,Unclassified
MN83.neg,38822.65102,44712.39277,40887.39464,53659.26375,101862.9441,Unclassified
MN84.neg,18942.70337,15808.60323,25888.79258,69266.45726,14621.96602,Unclassified
MN85.neg,162077.7589,164371.761,184998.2338,80554.5546,91366.98734,Unclassified
MN86.neg,761399.4333,143370.6102,88440.96236,126618.469,61858.98055,Unclassified
MN87.neg,40442.2607,65594.21796,25849.90295,46884.86352,72434.78485,Unclassified
MN88.neg,35063.66937,35198.75995,18183.19586,39748.46589,17116.31616,Unclassified
MN89.neg,31601.32064,23972.06406,41563.31384,35241.3836,44677.90254,Unclassified
MN90.neg,109163.266,63122.31047,99099.95958,160630.1809,209207.1656,Unclassified
MN91.neg,462650475.9,429336940.8,443520433.2,482983675.7,436506798.1,Unclassified
MN92.neg,137620205.4,128559118,122782285.9,120086928.8,128964517.7,Unclassified
MN93.neg,51797225.75,51824116.77,52297518.7,54432864.27,51933829.3,Unclassified
MN94.neg,394388796.5,374255388.1,398368778.3,416303353,370716436.6,Unclassified
MN95.neg,132178083.5,130877148,128909806.6,130520325.2,145293064.2,Unclassified
MN96.neg,463119360.2,482263694.4,495397010,480915488.9,492486990.2,Unclassified
MN97.neg,316563896.6,287824416.9,324352514.5,347814156.7,314330130.9,Unclassified
MN98.neg,191462808.4,182136702.7,178303326.9,183021383.8,173924504.5,Unclassified
MN99.neg,20697351.79,21100989.91,21198905.27,21925094.49,21808234.42,Unclassified
MN100.neg,29907195.57,29460095.01,28555971.67,29180959.44,30151215.67,Unclassified
MN101.neg,293359548.3,270177926.8,297851501,334658185.8,275594418.3,Unclassified
MN102.neg,277026399.6,252208620.9,272284316.9,302528424.4,262011155,Unclassified
MN103.neg,73036202.25,70005996.35,70942898.85,70612261.52,70849896.18,Unclassified
MN104.neg,52624357.08,52022829.42,51125678.87,53158652.99,51971981.75,Unclassified
MN105.neg,49868676.95,47555344.65,50060903.91,49775633.62,47930317.89,Unclassified
MN106.neg,165864.5561,165447.0113,243834.0305,381681.9443,222062.766,Unclassified
